★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Montage (electrodes),Target region,Frequency (Hz),Intensity (mA),Electrode size / density,Phase / waveform,Duration (min),N sessions,Results (☺ positive / modest / ☹ null → conclusions),Link
⚔ ref,Methodology,tES mechanisms review,,Fertonani & Miniussi,Italy,2017,Neuroscientist,Transcranial electrical stimulation: what we know and do not know about mechanisms,Review,Mechanistic synthesis,—,—,—,—,—,AC / DC / RN,—,—,Reviews online/offline mechanisms of tES including tACS,https://pubmed.ncbi.nlm.nih.gov/?term=Fertonani%20Miniussi%202017%20tACS
⚔ ref,Methodology,Technical guide,,Woods,USA,2016,Clin Neurophysiol,"A technical guide to tDCS, and related non-invasive brain stimulation tools",Guide,Technical/methods standard,—,—,—,—,—,AC / DC,—,—,Standard methods/reporting guidance for tES incl. tACS,https://pubmed.ncbi.nlm.nih.gov/?term=Woods%202016%20tACS
⚔ ref,Methodology,tACS review,,Tavakoli & Yun,Canada,2017,Front Cell Neurosci,Transcranial alternating current stimulation (tACS) mechanisms and protocols,Review,Protocol reference,—,—,—,—,—,Sinusoidal AC,—,—,Comprehensive review of tACS mechanisms and study protocols,https://pubmed.ncbi.nlm.nih.gov/?term=Tavakoli%20Yun%202017%20tACS
☺,Mechanism / validation,Endogenous field feedback (animal),,Fröhlich & McCormick,USA,2010,Neuron,Endogenous electric fields may guide neocortical network activity,Animal / in vitro,Weak fields feed back on network,—,Neocortex (ferret),slow-osc,weak fields,—,Sinusoidal / field,—,—,Weak endogenous-scale fields entrain network activity — biophysical basis for tACS,https://pubmed.ncbi.nlm.nih.gov/?term=Fr%C3%B6hlich%20McCormick%202010%20tACS
☺,Mechanism / validation,Transcranial AC entrains (rat),,Ozen,Hungary / USA,2010,J Neurosci,Transcranial electric stimulation entrains cortical neuronal populations in rats,"Animal, rat",Intracellular + field,—,Cortex (rat),0.8-1.7 (slow),field-dependent,—,Sinusoidal AC,—,—,Transcranial AC phase-entrains neuronal spiking in vivo,https://pubmed.ncbi.nlm.nih.gov/?term=Ozen%202010%20tACS
☺,Mechanism / validation,Network modulation (model+slice),,Reato,USA,2010,J Neurosci,Low-intensity electrical stimulation affects network dynamics by modulating population firing rate,Modeling + slice,Gamma network,—,Cortical network,gamma,weak,—,Sinusoidal AC,—,—,Weak AC fields modulate ongoing gamma via firing-rate changes,https://pubmed.ncbi.nlm.nih.gov/?term=Reato%202010%20tACS
☺,Mechanism / validation,Intracranial field measurement,,Opitz,USA / Germany,2016,Sci Rep,Spatiotemporal structure of intracranial electric fields induced by tES in humans and nonhuman primates,Intracranial,Measured fields,multi,Cortex,—,1-2 mA,—,AC / DC,—,—,Directly measured tES field magnitude/orientation intracranially,https://pubmed.ncbi.nlm.nih.gov/?term=Opitz%202016%20tACS
☺,Mechanism / validation,In vivo field measurement (human),,Huang,USA,2017,eLife,Measurements and models of electric fields in the in vivo human brain during transcranial electric stimulation,"Intracranial, epilepsy",Validated field models,multi,Cortex,—,1-2 mA,—,AC / DC,—,—,Provided empirical field magnitudes (~0.2-0.5 V/m per mA) to calibrate models,https://pubmed.ncbi.nlm.nih.gov/?term=Huang%202017%20tACS
☹,Mechanism / validation,Peripheral co-stimulation confound,,Asamoah,Belgium,2019,Nat Commun,tACS motor system effects can be caused by transcutaneous stimulation of peripheral nerves,"Physiology, healthy",Peripheral nerve confound,scalp,Scalp / peripheral nerves,band-specific,1-2 mA,—,Sinusoidal AC,—,—,"Some tACS effects mediated by scalp/peripheral-nerve stimulation, not cortex (valid caution)",https://pubmed.ncbi.nlm.nih.gov/?term=Asamoah%202019%20tACS
☹,Mechanism / validation,Retinal phosphene confound,,Kar & Krekelberg,USA,2012,J Neurophysiol,Transcranial alternating current stimulation attenuates visual motion adaptation,"Behavior, healthy",Retinal contribution,occipital,Retina / visual cortex,10-40,1 mA,~16 cm²,Sinusoidal AC,—,1,Highlights retinal phosphene/entrainment confound in occipital tACS (valid caution),https://pubmed.ncbi.nlm.nih.gov/?term=Kar%20Krekelberg%202012%20tACS
⚔ ref,Mechanism / validation,tACS-EEG artifact,,Noury,Germany,2016,Neuroimage,Physiological processes non-linearly affect electrophysiological recordings during tACS,Methods,Artifact contamination,—,—,—,1-2 mA,—,Sinusoidal AC,—,—,Cautions that heartbeat/respiration artifacts mimic entrainment in tACS-EEG,https://pubmed.ncbi.nlm.nih.gov/?term=Noury%202016%20tACS
⚔ ref,Mechanism / validation,Entrainment concept,,Thut,UK,2011,Front Psychol,Rhythmic TMS causes local entrainment of natural oscillatory signatures,Review / concept,Entrainment framework,—,—,—,—,—,rhythmic stimulation,—,—,Framed the entrainment hypothesis underlying rhythmic stimulation (incl. tACS),https://pubmed.ncbi.nlm.nih.gov/?term=Thut%202011%20tACS
⚔ ref,Mechanism / validation,tACS / tRNS review,,Antal & Herrmann,Germany,2016,Neural Plast,Transcranial alternating current and random noise stimulation: possible mechanisms,Review,Mechanistic review,—,—,—,—,—,AC / RN,—,—,Reviews entrainment and neuroplastic mechanisms of tACS/tRNS,https://pubmed.ncbi.nlm.nih.gov/?term=Antal%20Herrmann%202016%20tACS
☺ (modest),Motor / movement,Beta-gamma interaction,,Guerra,Italy,2016,Cereb Cortex,Boosting the LTP-like plasticity effect of intermittent theta-burst stimulation using gamma tACS,"Physiology, healthy",Gamma tACS + iTBS,M1-orbit,Motor cortex (M1),gamma (~75),1-2 mA,~35 cm²,Sinusoidal AC,short,1,Gamma tACS enhanced M1 plasticity induction,https://pubmed.ncbi.nlm.nih.gov/?term=Guerra%202016%20tACS
☺ (modest),Motor / movement,Beta plasticity timing,,Guerra,Italy,2018,J Physiol,Phase dependency of the human primary motor cortex response to beta tACS,"Physiology, healthy",Phase-dependent MEP,M1-orbit,Motor cortex (M1),beta (~20),1 mA,~35 cm²,"Sinusoidal, phase-defined",short,1,M1 corticospinal response depends on beta-tACS phase,https://pubmed.ncbi.nlm.nih.gov/?term=Guerra%202018%20tACS
☺ (modest),Motor / movement,Gamma motor learning,,Nowak,UK,2017,J Neurosci,Driving human motor cortical oscillations leads to behaviorally relevant changes in local GABA-A inhibition,"Physiology, healthy",Gamma tACS + GABA (MRS),M1-orbit,Motor cortex (M1),gamma (~75),1 mA,~16 cm²,Sinusoidal AC,—,1,Gamma tACS reduced GABA-A inhibition and improved motor learning,https://pubmed.ncbi.nlm.nih.gov/?term=Nowak%202017%20tACS
☺ (modest),Motor / movement,10Hz bimanual coordination,,Pollok,Germany,2015,Eur J Neurosci,The effect of tACS on motor coordination,"Behavior, healthy",10Hz sensorimotor,sensorimotor,Sensorimotor cortex,10 (alpha/mu),1 mA,~35 cm²,Sinusoidal AC,10 min,1,10Hz tACS modulated bimanual coordination,https://pubmed.ncbi.nlm.nih.gov/?term=Pollok%202015%20tACS
☺ (modest),Motor / movement,Gamma dyskinesia (PD),,Bologna,Italy,2019,Mov Disord,Effects of gamma tACS on levodopa-induced dyskinesia in Parkinson disease,"Physiology, PD",Gamma M1,M1-orbit,Motor cortex (M1),gamma (~60),2 mA,~35 cm²,Sinusoidal AC,—,1,Gamma tACS modulated dyskinesia expression,https://pubmed.ncbi.nlm.nih.gov/?term=Bologna%202019%20tACS
☺ (modest),Working memory,Theta/gamma WM,,Jausovec,Slovenia,2014,Neurosci Lett,Increasing working memory capacity with theta transcranial alternating current stimulation,"Behavior + EEG, healthy",Theta parietal,P3/P4,Parietal,theta (~5),1 mA,~16 cm²,Sinusoidal AC,15 min,1,Theta tACS increased working-memory capacity,https://pubmed.ncbi.nlm.nih.gov/?term=Jausovec%202014%20tACS
☺,Working memory,Theta frequency sets capacity,,Wolinski,UK,2018,PLoS Biol,The speed of parietal theta frequency drives visuospatial working memory capacity,"Behavior, healthy",4 vs 7 Hz parietal,P3/P4,Parietal,4 vs 7 (theta),1 mA,~16 cm²,Sinusoidal AC,—,1,Slower parietal theta increased and faster decreased WM capacity — causal,https://pubmed.ncbi.nlm.nih.gov/?term=Wolinski%202018%20tACS
☺ (modest),Working memory,Gamma WM,,Hoy,Australia,2015,Neuropsychologia,The effect of gamma tACS on working memory performance in healthy individuals,"Behavior, healthy",40Hz prefrontal,F3-F4,Prefrontal,40 (gamma),1-2 mA,~35 cm²,Sinusoidal AC,20 min,1,Gamma tACS improved n-back performance (dose/frequency-dependent),https://pubmed.ncbi.nlm.nih.gov/?term=Hoy%202015%20tACS
☺ (modest),Working memory,Theta/gamma WM (older),,Pahor & Jausovec,Slovenia,2018,Int J Psychophysiol,Theta/gamma tACS and working memory in older adults,"Behavior + EEG, older adults",Theta/gamma parietal,parietal,Parietal,theta / gamma,1 mA,~16 cm²,Sinusoidal AC,15-20 min,1,Frequency-specific WM improvement in older adults,https://pubmed.ncbi.nlm.nih.gov/?term=Pahor%20Jausovec%202018%20tACS
⚔ ref,Working memory,Review (tACS cognition),,Klink,Germany,2020,Front Psychol,The modulation of cognitive performance with transcranial alternating current stimulation: a systematic review,Systematic review,Effect heterogeneity,—,DLPFC / parietal,various,—,—,Sinusoidal AC,—,—,"Reviews mixed evidence; theta/gamma most promising, replication issues noted",https://pubmed.ncbi.nlm.nih.gov/?term=Klink%202020%20tACS
☺ (modest),Attention / perception,Occipital alpha,,Ruhnau,Austria,2016,Sci Rep,Eyes wide shut: transcranial alternating current stimulation drives alpha rhythm in a state dependent manner,"EEG, healthy",Alpha occipital,occipital,Occipital,10 (alpha),1 mA,~16 cm²,Sinusoidal AC,—,1,Alpha tACS drove occipital alpha most when endogenous alpha low,https://pubmed.ncbi.nlm.nih.gov/?term=Ruhnau%202016%20tACS
☺ (modest),Attention / perception,Alpha and attention,,Fusco,Italy,2018,Neuropsychologia,Alpha tACS over parietal cortex modulates visuospatial attention,"Behavior, healthy",Alpha parietal,parietal,Parietal,10 (alpha),1 mA,~16 cm²,Sinusoidal AC,—,1,Alpha tACS shifted visuospatial attention bias,https://pubmed.ncbi.nlm.nih.gov/?term=Fusco%202018%20tACS
☹,Attention / perception,Alpha attention null,,Clayton,UK,2018,J Cogn Neurosci,The effects of 10Hz transcranial alternating current stimulation on sustained attention,"RCT, healthy",No behavioral effect,occipito-parietal,Occipito-parietal,10 (alpha),1 mA,~16 cm²,Sinusoidal AC,—,1,No reliable effect on sustained attention despite alpha target (valid negative),https://pubmed.ncbi.nlm.nih.gov/?term=Clayton%202018%20tACS
☺ (modest),Attention / perception,Alpha frontoparietal attention,,van Schouwenburg,Netherlands,2017,J Cogn Neurosci,Spatial attention and the effects of frontoparietal alpha band stimulation,"Behavior + fMRI, healthy",Alpha frontoparietal,F-P,Frontoparietal,10 (alpha),1 mA,~16 cm²,Sinusoidal AC,—,1,Frontoparietal alpha tACS modulated attentional allocation,https://pubmed.ncbi.nlm.nih.gov/?term=van%20Schouwenburg%202017%20tACS
☺ (modest),Perception,Gamma motion perception,,Battaglini,Italy,2020,Sci Rep,Gamma tACS over V5 modulates motion perception,"Behavior, healthy",40Hz over V5,V5/MT,Visual motion area (V5),40 (gamma),1.5 mA,~16 cm²,Sinusoidal AC,—,1,Gamma tACS over V5 improved motion detection,https://pubmed.ncbi.nlm.nih.gov/?term=Battaglini%202020%20tACS
☺ (modest),Perception,40Hz visual phase,,Chander,Germany,2016,Front Hum Neurosci,tACS phase modulates visual perception,"Behavior, healthy",40Hz occipital,occipital,Visual cortex,40 (gamma),1 mA,~16 cm²,"Sinusoidal, phase-defined",—,1,Perceptual detection varied with gamma-tACS phase,https://pubmed.ncbi.nlm.nih.gov/?term=Chander%202016%20tACS
☺ (modest),Sleep / consolidation,Slow-oscillation tACS,,Robinson,USA,2018,Front Hum Neurosci,Slow-oscillation tACS during sleep and memory,"Behavior + EEG, healthy",SO tACS during NREM,frontal,Prefrontal,~0.75 (SO),—,~16 cm²,"Sinusoidal, SO-band",—,1 (nap),SO-band tACS modulated slow oscillations and memory retention,https://pubmed.ncbi.nlm.nih.gov/?term=Robinson%202018%20tACS
☺ (modest),Sleep / consolidation,Theta sleep memory,,Jones,USA,2018,Neurobiol Learn Mem,Theta tACS during sleep and emotional memory,"Behavior + EEG, healthy",Theta during sleep,frontal,Prefrontal,theta,—,~16 cm²,Sinusoidal AC,—,1 (nap),Theta tACS during sleep modulated emotional memory consolidation,https://pubmed.ncbi.nlm.nih.gov/?term=Jones%202018%20tACS
☺ (modest),Depression / bipolar,Alpha tACS,,Haller,USA (UNC),2020,Brain Stimul,Alpha tACS in bipolar depression: target engagement pilot,Pilot,Alpha network,bifrontal,Prefrontal,10 (alpha),2 mA,~16 cm²,Sinusoidal AC,40 min,multiple,Engaged alpha; feasible in bipolar depression (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Haller%202020%20tACS
☺ (modest),Schizophrenia,Gamma tACS,,Sreeraj,India,2019,Asian J Psychiatr,Gamma tACS for persistent symptoms in schizophrenia: case series,Case series,40Hz,fronto-temporal,Frontotemporal,40 (gamma),1-2 mA,~16 cm²,Sinusoidal AC,20 min,multiple,Suggestive symptom improvement with gamma tACS (preliminary),https://pubmed.ncbi.nlm.nih.gov/?term=Sreeraj%202019%20tACS
☺ (modest),Schizophrenia,Combined tACS+tDCS AVH,,Kallel,France,2016,Neurophysiol Clin,Combined tDCS and tACS for auditory verbal hallucinations in schizophrenia,Case series,Alpha tACS + tDCS,fronto-temporal,Left frontotemporal,10 (alpha),1-2 mA,~35 cm²,Sinusoidal AC + DC,20 min,multiple,Reduced hallucinations in treatment-resistant cases (preliminary),https://pubmed.ncbi.nlm.nih.gov/?term=Kallel%202016%20tACS
☺ (modest),Parkinson's disease,Beta-gamma cross-frequency,,Guerra,Italy,2020,Mov Disord,Driving motor cortex oscillations modulates bradykinesia in Parkinson's disease,"Physiology, PD",Beta vs gamma M1,M1-orbit,Motor cortex (M1),β (20) / γ (70),2 mA,~35 cm²,Sinusoidal AC,—,1,Gamma improved and beta worsened bradykinesia — frequency-specific,https://pubmed.ncbi.nlm.nih.gov/?term=Guerra%202020%20tACS
☺ (modest),Cerebellar ataxia / DoC,Cerebellar tACS,,Naro,Italy,2016,Neuroscience,Cerebellar tACS modulates cortico-cerebellar connectivity,Physiology,50Hz cerebellar,cerebellum,Cerebellum,50 (gamma),1-2 mA,—,Sinusoidal AC,—,1,Cerebellar tACS modulated connectivity relevant to ataxia/consciousness,https://pubmed.ncbi.nlm.nih.gov/?term=Naro%202016%20tACS
☺ (modest),Alzheimer's disease,Gamma tACS pilot,,Kehler,Canada,2020,Annu Int Conf IEEE EMBS,40Hz gamma tACS in Alzheimer's disease: feasibility pilot,Pilot,40Hz,temporal,Temporal,40 (gamma),2 mA,—,Sinusoidal AC,—,multiple,Feasible; preliminary cognitive/EEG changes,https://pubmed.ncbi.nlm.nih.gov/?term=Kehler%202020%20tACS
☺ (modest),Cognition – MCI,Theta tACS memory,,Jones,USA,2019,Front Aging Neurosci,Theta tACS enhances memory in mild cognitive impairment,Pilot,Theta network,temporoparietal,Temporoparietal,theta,1-2 mA,—,Sinusoidal AC,—,multiple,Theta tACS improved memory measures in MCI (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Jones%202019%20tACS
☺ (modest),ADHD,40Hz gamma tACS,,Dallmer-Zerbe,Germany / Czech,2020,J Atten Disord,Transcranial alternating current stimulation (tACS) at 40Hz improves attention in ADHD,RCT pilot,40Hz frontal,frontal,Prefrontal,40 (gamma),1-2 mA,~16 cm²,Sinusoidal AC,—,1,Gamma tACS improved attentional performance in ADHD (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Dallmer-Zerbe%202020%20tACS
☺ (modest),Chronic pain,Alpha tACS,,Kold & Graven-Nielsen,Denmark,2021,Pain,Alpha tACS reduces experimentally induced pain,"Behavior, healthy",Alpha somatosensory,S1,Somatosensory cortex,10 (alpha),1-2 mA,~16 cm²,Sinusoidal AC,—,1,Alpha tACS reduced pain sensitivity (mechanistic),https://pubmed.ncbi.nlm.nih.gov/?term=Kold%20Graven-Nielsen%202021%20tACS
⚔ ref,Methodology,tES safety,,Bikson,USA,2016,Brain Stimul,Safety of transcranial direct current stimulation: evidence-based update,Review / safety,Applies broadly to tES,—,—,—,≤4 mA,—,AC / DC,—,—,Evidence-based safety limits for low-intensity tES (incl. tACS),https://pubmed.ncbi.nlm.nih.gov/?term=Bikson%202016%20tACS
⚔ ref,Methodology,tES safety (practice),,Matsumoto & Ugawa,Japan,2017,Clin Neurophysiol Pract,Adverse events of tDCS and tACS: a review,Review / safety,Adverse-event profile,—,—,—,≤2-4 mA,—,AC / DC,—,—,"tACS adverse events mild/transient (tingling, phosphenes, skin sensations)",https://pubmed.ncbi.nlm.nih.gov/?term=Matsumoto%20Ugawa%202017%20tACS
⚔ ref,Methodology,tES review (cognition),,Reed & Cohen Kadosh,UK,2018,Exp Brain Res,Transcranial electrical stimulation as a tool for cognitive enhancement,Review,Cognition applications,—,DLPFC / parietal,various,—,—,AC / DC / RN,—,—,Reviews tES (incl. tACS) for cognitive enhancement; effect variability,https://pubmed.ncbi.nlm.nih.gov/?term=Reed%20Cohen%20Kadosh%202018%20tACS
⚔ ref,Methodology,Frontal midline theta review,,Wischnewski,USA / Netherlands,2023,Neurosci Biobehav Rev,Frontal midline theta and cognitive control: implications for tACS,Review,Theta-cognition targeting,—,Medial prefrontal,theta,—,—,Sinusoidal AC,—,—,Reviews frontal-midline-theta targeting rationale for cognitive-control tACS,https://pubmed.ncbi.nlm.nih.gov/?term=Wischnewski%202023%20tACS
