idx,author,year,journal,polarity,anode,cathode,mA,area,density,tmin,nsess,status,source_url,notes
203,Berryhill,2011,Neurosci Lett,Anodal,F3 / F4 (DLPFC),Contralateral cheek,1.5,35,0.043,10,1,UNCHECKED,,
204,Chrysikou,2013,Cogn Neurosci,Cathodal,Left PFC,Right cheek,1.5,35,0.043,—,1,UNCHECKED,,
205,Weiss & Lavidor,2012,J Cogn Neurosci,Cathodal,Right posterior temporal,Contralateral,1.5,35,0.043,—,1,UNCHECKED,,
206,Meiron,2013,Neuroscience,Anodal,Left or right DLPFC,Contralateral supraorbital,1.5,35,0.043,—,1,UNCHECKED,,
207,Gill,2015,Brain Stimul,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,15,1,UNCHECKED,,
208,Cantarero,2015,J Neurosci,Anodal,Cerebellum,Buccinator,2,25,0.080,—,3,UNCHECKED,,
209,Kantak,2012,Behav Brain Res,Anodal,M1 / DLPFC,Contralateral supraorbital,1,25,0.040,—,1,UNCHECKED,,
210,Hagenacker,2014,J Headache Pain,Anodal,M1 (face area),Contralateral supraorbital,1,35,0.029,20,14,UNCHECKED,,
211,Wrigley,2013,Pain,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,5,UNCHECKED,,
212,Kim,2013,Clin J Pain,Anodal,M1 (knee area),Contralateral supraorbital,2,35,0.057,20,—,UNCHECKED,,
213,Harvey,2018,Clin J Pain,Anodal,M1 (C3/C4) 4×1,4× surround,2,HD 4×1,—,20,5,UNCHECKED,,
214,Valentino,2014,Mov Disord,Anodal,M1 (leg area),Contralateral supraorbital,2,35,0.057,20,5,UNCHECKED,,
215,Dagan,2018,Mov Disord,Anodal,M1 + DLPFC (multifocal),Multifocal,2,HD multi,—,20,1,UNCHECKED,,
216,Schabrun,2016,PLoS One,Anodal,M1 (leg area),Contralateral supraorbital,2,35,0.057,20,9,UNCHECKED,,
217,Vercammen,2011,Schizophr Res,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,—,—,UNCHECKED,,
218,Bose,2018,Schizophr Res,Anodal + cathodal,Left DLPFC (F3),Left temporoparietal,2,35,0.057,20,10,UNCHECKED,,
219,Falcone,2016,Drug Alcohol Depend,Anodal,Left DLPFC (F3),Right supraorbital,1,35,0.029,20,1,UNCHECKED,,
220,Mondino,2015,Brain Stimul,Anodal,Left DLPFC (F3),Right temporoparietal,2,35,0.057,20,1,UNCHECKED,,
221,Vitor de Souza Brangioni,2018,Alcohol Alcohol,Anodal R / cathodal L,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,5,UNCHECKED,,
222,Karvigh,2017,Epilepsy Behav,Cathodal,Epileptogenic focus,Contralateral,2,35,0.057,20,5,UNCHECKED,,
223,Zoghi,2016,Epilepsia Open,Cathodal,Temporal focus,Contralateral,1,35,0.029,20,—,UNCHECKED,,
224,Munz,2015,Front Cell Neurosci,Anodal (oscillating),Bilateral frontal,Mastoids,0.517,—,—,—,1,UNCHECKED,,
225,Sotnikova,2017,Brain Topogr,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,1,UNCHECKED,,
226,Gómez,2017,Brain Stimul,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,20,UNCHECKED,,
227,Vanneste,2011,Neurosci Lett,Anodal & cathodal,Auditory cortex (temporoparietal),Contralateral,1.5,35,0.043,—,1,UNCHECKED,,
228,Forogh,2016,Neurol Sci,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,5,UNCHECKED,,
229,Lu,2019,Brain Stimul,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,10,UNCHECKED,,
230,Khedr,2019,Neurophysiol Clin,Anodal,Left DLPFC (F3),Contralateral supraorbital,2,35,0.057,20,10,UNCHECKED,,
231,Ayache,2016,Eur J Pain,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,3,UNCHECKED,,
232,Hanken,2016,Front Neurol,Anodal,Parietal cortex,Contralateral,1,35,0.029,—,—,UNCHECKED,,
233,Pingue,2018,Dysphagia,Anodal (bilateral),Bilateral pharyngeal motor cortex,—,2,—,—,30,10,UNCHECKED,,
234,Fineberg,2023,Compr Psychiatry,Cathodal,OFC / pre-SMA,Contralateral,2,35,0.057,20,—,UNCHECKED,,
235,Ahmadizadeh,2018,Brain Res Bull,Anodal,Right DLPFC (F4),Left DLPFC,2,35,0.057,20,10,UNCHECKED,,
236,Lesniak,2014,J Head Trauma Rehabil,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,10,15,UNCHECKED,,
