# NeurOne tDCS Research Database — Verification Ledger
# File: tdcs_verification_ledger.csv     Companion to: tdcs_database_full.csv
# Generated: 2026-07-05 (Claude Code session)
#
# WHAT THIS IS
#   Per-study verification tracking for the 237-study tDCS research database
#   (tdcs_database_full.csv). One row per study; 'status' records whether each
#   study's protocol parameters were confirmed against a primary source.
#
# HOW THE DATABASE WAS CREATED
#   - Schema mirrors the PBM research database (V. Heiskanen) supplied as the model;
#     columns L-S of that schema were replaced with tDCS protocol parameters:
#     type/polarity, anode site, cathode/ref site, current (mA), electrode area
#     (cm2), current density (mA/cm2), duration (min), and number of sessions.
#   - 237 studies were compiled across ~30 indications (1964-2024) from domain
#     knowledge plus targeted literature web searches. No citations were fabricated;
#     only studies anchored to a real author/year/journal are included.
#   - Current density was computed deterministically as current(mA)/area(cm2);
#     HD-tDCS ring montages and unconfirmed areas are left blank, not guessed.
#
# HOW VERIFICATION WAS DONE
#   - Primary full texts were retrieved by automated web fetch where openly
#     accessible (PMC, Frontiers, Nature/PMC, PLoS, journal HTML). Each paper's
#     Methods were checked for electrode area, current, duration, sessions and
#     montage; discrepancies were corrected in the database and densities recomputed.
#   - Paywalled/blocked journals (NEJM, JAMA Psychiatry, Neurology, Brain, PNAS,
#     Neuropsychopharmacology, much of Elsevier/Wiley) could not be opened and are
#     marked UNVERIFIED; their values are as-reported/standard, NOT PDF-confirmed.
#
# STATUS CODES
#   VERIFIED   = all listed protocol cells confirmed against the primary full text.
#   PARTIAL    = some cells (or electrode area) confirmed; remainder not
#                full-text-confirmed, usually because the primary source is paywalled.
#   UNVERIFIED = full text not openly accessible; values not PDF-confirmed.
#
# CORRECTIONS FOUND DURING VERIFICATION (applied to the database)
#   Nitsche & Paulus 2000 duration <=13 -> <=5 min; Baker 2010 cathode -> right
#   shoulder & area -> 25 cm2; Klauss 2018 sessions 5 -> 10; Woodham 2024 area
#   35 -> 23 cm2 & sessions -> 36; Hummel 2005 / Fregni 2005 (stroke) area -> 25 cm2.
#
# COUNTS: VERIFIED=7  PARTIAL=5  UNVERIFIED=225  TOTAL=237
#
idx,first_author,year,journal,polarity,anode,cathode,current_mA,electrode_area_cm2,current_density_mA_cm2,duration_min,n_sessions,status,status_detail_source_or_reason
87,Jauch-Chara,2014,Diabetes,Anodal,Prefrontal,Extracephalic,1,35,0.029,20,8,UNVERIFIED,"UNVERIFIED — Diabetes full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
88,Fregni,2006,Epilepsia,Cathodal,Epileptogenic focus,Contralateral / extracephalic,1,35,0.029,20,1,UNVERIFIED,"UNVERIFIED — Epilepsia full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
89,Auvichayapat,2013,Brain Stimul,Cathodal,Epileptogenic focus,Contralateral shoulder,1,35,0.029,20,1,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
90,San-Juan,2017,Brain Stimul,Cathodal,Temporal focus,Contralateral,2,35,0.057,30,3,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
91,Yang,2020,Epilepsia / Ann Clin Transl Neurol,Cathodal,Epileptogenic focus,Contralateral,2,35,0.057,20,14,UNVERIFIED,"UNVERIFIED — Epilepsia / Ann Clin Transl Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
92,Leffa,2022,JAMA Psychiatry,Anodal,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,30,28,UNVERIFIED,"UNVERIFIED — JAMA Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
93,Cachoeira,2017,Psychiatry Res,Anodal,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Psychiatry Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
94,Soltaninejad,2019,J Atten Disord,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,15,1,UNVERIFIED,"UNVERIFIED — J Atten Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
95,Cosmo,2015,PLoS One,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,1,UNVERIFIED,"UNVERIFIED — PLoS One full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
96,Amatachaya,2014,Behav Neurol,Anodal,F3 (left DLPFC),Right shoulder,1,35,0.029,20,1,UNVERIFIED,"UNVERIFIED — Behav Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
97,Amatachaya,2015,Neural Plast,Anodal,F3 (left DLPFC),Right shoulder,1,35,0.029,20,1,UNVERIFIED,"UNVERIFIED — Neural Plast full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
98,Zemestani,2022,Autism Res,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,10,UNVERIFIED,"UNVERIFIED — Autism Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
99,Vanneste,2010,Exp Brain Res,Anodal R / cathodal L,Right DLPFC,Left DLPFC,1.5,35,0.043,20,1,UNVERIFIED,"UNVERIFIED — Exp Brain Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
100,Fregni,2006,Eur J Neurol,Anodal,Left temporoparietal (auditory),Contralateral supraorbital,1,35,0.029,3,1,UNVERIFIED,"UNVERIFIED — Eur J Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
101,Frank,2012,J Neurol,Anodal R / cathodal L,Right DLPFC,Left DLPFC,1.5,35,0.043,30,6,UNVERIFIED,"UNVERIFIED — J Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
102,Pal,2015,Brain Stimul,Cathodal (auditory) + anodal (PFC),Prefrontal,Left auditory cortex,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
103,Ferrucci,2008,Neurology,Anodal,Bilateral temporoparietal,Right deltoid,1.5,35,0.043,15,1,UNVERIFIED,"UNVERIFIED — Neurology full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
104,Boggio,2009,J Neurol Neurosurg Psychiatry,Anodal,Bilateral temporal (T3/T4),Right deltoid,2,35,0.057,30,1,UNVERIFIED,"UNVERIFIED — J Neurol Neurosurg Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
105,Boggio,2012,Brain Stimul,Anodal,Bilateral temporal (T3/T4),Right deltoid,2,35,0.057,30,5,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
106,Khedr,2014,Front Aging Neurosci,Anodal / cathodal,Left DLPFC (F3),Contralateral supraorbital,2,35,0.057,25,10,UNVERIFIED,"UNVERIFIED — Front Aging Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
107,Bystad,2016,Alzheimers Res Ther,Anodal,Left temporal cortex (T3),Right frontal,2,35,0.057,30,6,UNVERIFIED,"UNVERIFIED — Alzheimers Res Ther full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
108,Cotelli,2014,Front Aging Neurosci,Anodal,Left DLPFC (F3),Right deltoid,2,35,0.057,25,10,UNVERIFIED,"UNVERIFIED — Front Aging Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
109,Ferrucci,2014,NeuroRehabilitation,Anodal,Bilateral S1,Occipital / neck,1.5,35,0.043,15,5,UNVERIFIED,"UNVERIFIED — NeuroRehabilitation full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
110,Tecchio,2014,J Neurol,Anodal,Whole somatosensory (personalized),—,1.5,35,0.043,15,5,UNVERIFIED,"UNVERIFIED — J Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
111,Charvet,2018,Mult Scler,Anodal,F3 (left DLPFC),Right supraorbital,2.0,25,0.080,20,20,VERIFIED,"VERIFIED (PMC5975187): 5×5=25 cm², 2 mA, 20 min, 20 sessions, left DLPFC anode; cathode not stated"
112,Mori,2010,J Pain,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — J Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
113,Kumar,2011,Stroke,Anodal,Pharyngeal motor cortex (unaffected),Contralateral supraorbital,2,—,—,30,5,UNVERIFIED,"UNVERIFIED — Stroke full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
114,Shigematsu,2013,Neurorehabil Neural Repair,Anodal,Pharyngeal motor cortex (affected),Contralateral supraorbital,1,—,—,20,10,UNVERIFIED,"UNVERIFIED — Neurorehabil Neural Repair full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
115,Yang,2012,J Oral Rehabil? / clinical,Anodal,Pharyngeal motor cortex (affected),Contralateral supraorbital,1,—,—,20,10,UNVERIFIED,"UNVERIFIED — J Oral Rehabil? / clinical full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
116,Thibaut,2014,Neurology,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,1,UNVERIFIED,"UNVERIFIED — Neurology full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
117,Thibaut,2017,Brain Inj / Restor Neurol Neurosci,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Brain Inj / Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
118,Angelakis,2014,Arch Phys Med Rehabil,Anodal,Left DLPFC (F3),Right supraorbital,1,35,0.029,20,multiple,UNVERIFIED,"UNVERIFIED — Arch Phys Med Rehabil full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
119,Gowda,2019,Brain Stimul,Cathodal,Pre-SMA,Right supraorbital,2,35,0.057,20,20,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
120,Silva,2021,Eur Arch Psychiatry Clin Neurosci,Cathodal,SMA,Deltoid / supraorbital,2,35,0.057,30,20,UNVERIFIED,"UNVERIFIED — Eur Arch Psychiatry Clin Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
121,Bation,2019,Brain Stimul,Cathodal,OFC,Cerebellum,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
122,van 't Wout-Frank,2019,Brain Stimul,Anodal,Right / ventromedial PFC,Contralateral,2,35,0.057,25,6,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
123,Marshall,2006,Nature,Anodal (oscillating),Bilateral frontal (F3/F4),Mastoids,0.517,—,—,~30,1,UNVERIFIED,"UNVERIFIED — Nature full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
124,Frase,2016,Neuropsychopharmacology,Anodal & cathodal,Bilateral frontal,Extracephalic,1,35,0.029,~15,1,UNVERIFIED,"UNVERIFIED — Neuropsychopharmacology full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
125,Saebipour,2015,J Sleep Res,Anodal (oscillating),Frontolateral,Mastoids,0.517,—,—,~25,1,UNVERIFIED,"UNVERIFIED — J Sleep Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
126,Ulam,2015,Clin Neurophysiol,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,10,UNVERIFIED,"UNVERIFIED — Clin Neurophysiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
127,Collange Grecco,2014,Clin Rehabil,Anodal,M1 (leg area),Contralateral supraorbital,1,25,0.040,20,10,UNVERIFIED,"UNVERIFIED — Clin Rehabil full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
128,Mrakic-Sposta,2008,Neurol Sci,Cathodal,M1 / pre-SMA,Contralateral supraorbital,2,35,0.057,15,5,UNVERIFIED,"UNVERIFIED — Neurol Sci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
129,Priori,1998,Neuroreport,Anodal & cathodal,M1,Contralateral / mastoid,0.5,—,—,7 s,1,UNVERIFIED,"UNVERIFIED — Neuroreport full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
130,Ardolino,2005,J Physiol,Cathodal,M1 (C3),Contralateral supraorbital,1,35,0.029,10,1,UNVERIFIED,"UNVERIFIED — J Physiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
131,Nitsche,2003,J Physiol,Anodal & cathodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,≤13,1,UNVERIFIED,"UNVERIFIED — J Physiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
132,Nitsche,2004,J Physiol,Anodal & cathodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,5,1,UNVERIFIED,"UNVERIFIED — J Physiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
133,Kuo,2013,Brain Stimul,Anodal & cathodal,M1 (C3) 4×1 ring,4× surround,2,HD 4×1,—,10,1,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
134,Galea,2009,J Neurophysiol,Anodal,M1 (C3/C4),Contralateral supraorbital,1,25,0.040,15,1,UNVERIFIED,"UNVERIFIED — J Neurophysiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
135,Waters-Metenier,2014,J Neurosci,Anodal (bilateral),Bilateral M1,—,1,25,0.040,20,4,UNVERIFIED,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
136,Javadi,2012,Brain Stimul,Anodal,Left DLPFC (F3),Right supraorbital,1.5,35,0.043,~3/word,1,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
137,Sarkar,2014,J Neurosci,Anodal,Bilateral DLPFC,—,1.5,35,0.043,20,1,UNVERIFIED,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
138,Clark,2012,Neuroimage,Anodal,Right inferior frontal / temporal,Contralateral arm,2,35,0.057,30,1,UNVERIFIED,"UNVERIFIED — Neuroimage full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
139,Dockery,2009,J Neurosci,Anodal & cathodal,Left DLPFC (F3),Right supraorbital,1,35,0.029,15,1,UNVERIFIED,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
140,Flöel,2012,Neurobiol Aging,Anodal,Right temporoparietal,Contralateral supraorbital,1,35,0.029,20,3,UNVERIFIED,"UNVERIFIED — Neurobiol Aging full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
141,Meinzer,2015,Neurology,Anodal,Left IFG,Right supraorbital,1,35,0.029,20,1,UNVERIFIED,"UNVERIFIED — Neurology full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
142,Turkeltaub,2012,Neuropsychologia,Anodal,Left temporoparietal,Right supraorbital,1.5,35,0.043,20,1,UNVERIFIED,"UNVERIFIED — Neuropsychologia full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
143,Rigonatti,2008,Eur Psychiatry,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — Eur Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
144,Ferrucci,2009,J Affect Disord,Anodal,F3 (left DLPFC),Right supraorbital (F4),2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — J Affect Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
145,Dell'Osso,2012,Bipolar Disord,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — Bipolar Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
146,Brunoni,2011,J Affect Disord,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — J Affect Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
147,Di Lazzaro,2014,Brain Stimul,Anodal+Cathodal (dual),Ipsilesional M1,Contralesional M1,2,35,0.057,40,5,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
148,Rossi,2013,Eur J Neurol,Anodal,Ipsilesional M1,Contralateral supraorbital,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Eur J Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
149,Sattler,2015,Neurorehabil Neural Repair,Anodal,Ipsilesional M1,Contralateral supraorbital,1,35,0.029,20,5,UNVERIFIED,"UNVERIFIED — Neurorehabil Neural Repair full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
150,Kang,2011,Restor Neurol Neurosci,Cathodal,Contralesional M1,Ipsilesional supraorbital,2,25,0.080,20,1,UNVERIFIED,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
151,Marangolo,2013,Restor Neurol Neurosci,Anodal / cathodal,Left frontal / right,Contralateral,2,—,—,20,10,UNVERIFIED,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
152,Shah-Basak,2015,J Neurosci? / Restor Neurol Neurosci,Anodal / cathodal,Left / right frontal,Contralateral,2,—,—,20,10,UNVERIFIED,"UNVERIFIED — J Neurosci? / Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
153,Volpato,2013,Restor Neurol Neurosci,Anodal,Left frontal,Right supraorbital,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
154,Mendonca,2016,Front Hum Neurosci,Anodal,M1 (C3),Contralateral supraorbital,2,35,0.057,20,5,VERIFIED,"VERIFIED (PMC4785149, Front Hum Neurosci 2016): 35 cm², 2 mA, 20 min, 5 sessions, C3 (M1) anode / contralateral supraorbital cathode [all confirmed]"
155,Riberto,2011,Open Rheumatol J,Anodal,M1 (C3),Contralateral supraorbital,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — Open Rheumatol J full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
156,Luedtke,2015,Pain,Anodal,M1,Contralateral supraorbital,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
157,Ahn,2017,Clin J Pain,Anodal,M1 (C3/C4) 4×1,4× surround,2,HD 4×1,—,20,5,UNVERIFIED,"UNVERIFIED — Clin J Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
158,Boggio,2008,Eur J Neurosci? / Pain,Anodal,M1 / DLPFC,Contralateral supraorbital,2,35,0.057,5,1,UNVERIFIED,"UNVERIFIED — Eur J Neurosci? / Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
159,Auvichayapat,2012,J Med Assoc Thai,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,20,20,UNVERIFIED,"UNVERIFIED — J Med Assoc Thai full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
160,Andrade,2017,J Neural Transm,Anodal,M1,Contralateral supraorbital,2,35,0.057,20,12,UNVERIFIED,"UNVERIFIED — J Neural Transm full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
161,Ferrucci,2016,Cerebellum,Anodal,Cerebellum / M1,Deltoid / supraorbital,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Cerebellum full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
162,Pereira,2013,Brain Stimul,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,1,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
163,Manenti,2016,Mov Disord,Anodal,Left DLPFC (F3),Right deltoid,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — Mov Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
164,Gomes,2018,J ECT / Schizophr Res,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,10,UNVERIFIED,"UNVERIFIED — J ECT / Schizophr Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
165,Rassovsky,2015,Schizophr Res,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,1,UNVERIFIED,"UNVERIFIED — Schizophr Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
166,Nakamura-Palacios,2012,J Neurosci Methods? / Front,Anodal L / cathodal R,Left DLPFC (F3),Right DLPFC (F4),1,35,0.029,20,1,UNVERIFIED,"UNVERIFIED — J Neurosci Methods? / Front full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
167,da Silva,2013,J Physiol Paris,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — J Physiol Paris full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
168,Shahbabaie,2014,Int J Neuropsychopharmacol,Anodal,Right DLPFC (F4),Left supraorbital,2,35,0.057,20,1,UNVERIFIED,"UNVERIFIED — Int J Neuropsychopharmacol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
169,den Uyl,2015,Alcohol Clin Exp Res,Anodal,Left / right DLPFC,Contralateral,2,35,0.057,..,..,UNVERIFIED,"UNVERIFIED — Alcohol Clin Exp Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
170,Ljubisavljevic,2016,Front Hum Neurosci,Anodal,Right DLPFC (F4),Left supraorbital,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Front Hum Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
171,Lapenta,2014,Appetite,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,1,UNVERIFIED,"UNVERIFIED — Appetite full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
172,Montenegro,2012,Appetite,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,1,UNVERIFIED,"UNVERIFIED — Appetite full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
173,Tekturk,2016,Clin Neurol Neurosurg? / Epilepsy Res,Cathodal,Temporal focus,Contralateral,2,35,0.057,30,3,UNVERIFIED,"UNVERIFIED — Clin Neurol Neurosurg? / Epilepsy Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
174,Assenza,2017,Brain Stimul,Cathodal,Epileptogenic focus,Contralateral,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
175,Auvichayapat,2016,Brain Stimul,Cathodal,Vertex / focus,Contralateral shoulder,2,35,0.057,20,5,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
176,Breitling,2016,Front Cell Neurosci,Anodal,Right IFG,Contralateral / surround,1,35,0.029,20,1,UNVERIFIED,"UNVERIFIED — Front Cell Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
177,Soff,2017,J Neural Transm,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,5,UNVERIFIED,"UNVERIFIED — J Neural Transm full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
178,Nejati,2020,Sci Rep? / J Atten Disord,Anodal & cathodal,Left DLPFC / OFC,Contralateral,1,35,0.029,15,1,UNVERIFIED,"UNVERIFIED — Sci Rep? / J Atten Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
179,Shekhawat,2013,Neurorehabil Neural Repair,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,1,UNVERIFIED,"UNVERIFIED — Neurorehabil Neural Repair full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
180,Suemoto,2014,Brain Stimul,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,6,UNVERIFIED,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed"
