★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Type / polarity,Anode site,Cathode / ref site,Current (mA),Electrode size (cm²),Current density (mA/cm²),t / min,N sessions,Results:  positive ☺ / modest ☺ / null ☹  ↑ ↓ →  (conclusions),Link,Additional info,Comment,Reply,Additional info (2)
,Chronic pain,Fibromyalgia,,Valle,Brazil,2009,J Pain Manag,Anodal M1 vs DLPFC tDCS for fibromyalgia (10 sessions),RCT (n=41),Longer course,Anodal,M1 (C3) / F3,Contralateral supraorbital,2,35,0.057,20,10,☺ M1 ↓ pain; effect to ~60 days,https://pubmed.ncbi.nlm.nih.gov/?term=Valle%202009%20tDCS,"UNVERIFIED — J Pain Manag full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Fibromyalgia,,Fagerlund,Norway,2015,Pain,Anodal M1 tDCS reduces fibromyalgia pain (home-relevant),RCT (n=48),5 sessions,Anodal,M1 (C3),Contralateral supraorbital,2,35,0.057,20,5,☺ ↓ pain intensity vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fagerlund%202015%20tDCS,"UNVERIFIED — Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Fibromyalgia (HD),,Villamar,USA,2013,J Pain,4×1 HD-tDCS of M1 for fibromyalgia (an/cathodal),Crossover (n=18),Focal HD montage,Anodal & cathodal,M1 (C3) 4×1 ring,4× surround,2,HD 4×1,—,20,1,☺ Both HD montages ↓ pain acutely,https://pubmed.ncbi.nlm.nih.gov/?term=Villamar%202013%20tDCS,"UNVERIFIED — J Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,SCI central pain,,Fregni,USA / Brazil,2006,Pain,Anodal M1 tDCS reduces central pain in spinal cord injury,RCT (n=17),Neuropathic SCI pain,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,5,☺ ↓ pain vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202006%20tDCS,"UNVERIFIED — Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,SCI + illusion,,Soler,Spain,2010,Brain,Anodal M1 tDCS + visual illusion for SCI neuropathic pain,RCT (n=39),Combined therapy,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,10,☺ tDCS + illusion ↓ pain most,https://pubmed.ncbi.nlm.nih.gov/?term=Soler%202010%20tDCS,"UNVERIFIED — Brain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Phantom limb,,Bolognini,Italy,2015,J Pain,Anodal M1 tDCS reduces phantom limb pain,RCT (n=8),Amputees,Anodal,M1 (contralateral to phantom),Contralateral supraorbital,1.5,35,0.043,15,5,☺ ↓ phantom pain & telescoping,https://pubmed.ncbi.nlm.nih.gov/?term=Bolognini%202015%20tDCS,"UNVERIFIED — J Pain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Migraine (prophylaxis),,Antal,Germany,2011,Cephalalgia,Cathodal visual-cortex tDCS for migraine prophylaxis,RCT,6-week course,Cathodal,Occipital / visual cortex (Oz),Vertex (Cz),1,35,0.029,15,multiple,☺ (modest) ↓ attack duration & intensity,https://pubmed.ncbi.nlm.nih.gov/?term=Antal%202011%20tDCS,"UNVERIFIED — Cephalalgia full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Chronic pain,Migraine,,DaSilva,USA,2012,Headache,Anodal M1 tDCS for chronic migraine,RCT (n=13),M1 target,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,10,☺ ↓ pain intensity (delayed effect),https://pubmed.ncbi.nlm.nih.gov/?term=DaSilva%202012%20tDCS,"UNVERIFIED — Headache full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Parkinson's disease,Motor / gait,,Benninger,USA,2010,J Neurol Neurosurg Psychiatry,Anodal motor/prefrontal tDCS for Parkinson's disease,RCT (n=25),8 sessions,Anodal,Motor & prefrontal (alternating),Extracephalic / mastoid,2,25,0.080,20,8,☺ (modest) ↑ gait/bradykinesia short-term; some null,https://pubmed.ncbi.nlm.nih.gov/?term=Benninger%202010%20tDCS,"UNVERIFIED — J Neurol Neurosurg Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Parkinson's disease,Motor,,Fregni,USA / Brazil,2006,Mov Disord,Anodal M1 tDCS improves motor function in Parkinson's,Crossover (n=17),UPDRS motor,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,20,1,☺ ↑ UPDRS motor (~10%) vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202006%20tDCS,"UNVERIFIED — Mov Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Parkinson's disease,Working memory,,Boggio,Brazil,2006,J Neurol Sci,Anodal DLPFC tDCS improves working memory in Parkinson's,Crossover (n=18),Cognitive target,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,1,☺ ↑ WM (3-back) with DLPFC 2 mA,https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202006%20tDCS,"UNVERIFIED — J Neurol Sci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Parkinson's disease,Gait training,,Kaski,UK,2014,Clin Neurophysiol,Anodal tDCS + gait training improves locomotion in PD,RCT (n=16),Combined with training,Anodal,M1 / leg motor area,Contralateral supraorbital,2,35,0.057,15,1,☺ ↑ gait speed & balance vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Kaski%202014%20tDCS,"UNVERIFIED — Clin Neurophysiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Parkinson's disease,Gait + training,,Costa-Ribeiro,Brazil,2017,J Neurol,Anodal M1 tDCS + gait training prolongs motor benefit in PD,RCT (n=22),Adjunct to training,Anodal,M1 (leg area),Contralateral supraorbital,2,35,0.057,13,10,☺ ↑ retention of gait gains,https://pubmed.ncbi.nlm.nih.gov/?term=Costa-Ribeiro%202017%20tDCS,"UNVERIFIED — J Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Parkinson's disease,Executive,,Doruk,USA / Brazil,2014,Neurosci Lett,DLPFC tDCS improves executive function in Parkinson's,RCT (n=18),"Trail-making, exec",Anodal,F3 / F4 (DLPFC),Contralateral supraorbital,2,35,0.057,20,10,☺ ↑ executive function; sustained,https://pubmed.ncbi.nlm.nih.gov/?term=Doruk%202014%20tDCS,"UNVERIFIED — Neurosci Lett full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cerebellar ataxia,Degenerative,,Benussi,Italy,2015,Mov Disord,Single-session cerebellar anodal tDCS improves ataxia,RCT crossover (n=19),Various ataxias,Anodal,Cerebellum (midline),Right deltoid / buccinator,2,35,0.057,20,1,☺ ↑ ataxia scales acutely,https://pubmed.ncbi.nlm.nih.gov/?term=Benussi%202015%20tDCS,"UNVERIFIED — Mov Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cerebellar ataxia,Cerebello-spinal,,Benussi,Italy,2018,Neurology,2-week cerebello-spinal tDCS in neurodegenerative ataxia,RCT (n=20),Daily ×10; 3-mo follow-up,Anodal,Cerebellum + spinal,—,2,35,0.057,20,10,☺ ↑ ataxia & gait; persisted 3 mo,https://pubmed.ncbi.nlm.nih.gov/?term=Benussi%202018%20tDCS,"UNVERIFIED — Neurology full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
★,Schizophrenia,Auditory hallucinations,,Brunelin,France,2012,Am J Psychiatry,Fronto-temporal tDCS for refractory auditory hallucinations,RCT (n=30),2×/day ×5 days,Anodal + cathodal,"Left DLPFC (F3, anode)",Left temporoparietal (cathode),2,35,0.057,20,10,☺ Robust ↓ hallucinations; lasting 3 mo,https://pubmed.ncbi.nlm.nih.gov/?term=Brunelin%202012%20tDCS,"UNVERIFIED — Am J Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Schizophrenia,Hallucinations,,Mondino,France,2016,Schizophr Res,Fronto-temporal tDCS reduces auditory hallucinations & source-monitoring,RCT (n=23),Replication + mechanism,Anodal + cathodal,Left DLPFC (F3),Left temporoparietal,2,35,0.057,20,10,☺ ↓ hallucinations vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Mondino%202016%20tDCS,"UNVERIFIED — Schizophr Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Schizophrenia,Negative symptoms,,Valiengo,Brazil,2020,JAMA Psychiatry,tDCS for negative symptoms of schizophrenia (STARTS),RCT (n=100),Bifrontal montage,Anodal,F3 (left DLPFC),Left temporoparietal,2,25,0.080,20,10,☺ ↓ negative symptoms vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Valiengo%202020%20tDCS,"UNVERIFIED — JAMA Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Schizophrenia,Negative symptoms,,Palm,Germany,2016,Schizophr Bull,Prefrontal tDCS improves negative symptoms & connectivity,RCT (n=20),fMRI connectivity,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,10,☺ ↓ negative symptoms; ↑ prefrontal connectivity,https://pubmed.ncbi.nlm.nih.gov/?term=Palm%202016%20tDCS,"UNVERIFIED — Schizophr Bull full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Schizophrenia,Cognition,,Smith,USA,2015,Schizophr Res,Anodal DLPFC tDCS improves cognition (not symptoms) in schizophrenia,RCT (n=33),Smokers with schizophrenia,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,5,☺ ↑ cognition (MCCB); no symptom change,https://pubmed.ncbi.nlm.nih.gov/?term=Smith%202015%20tDCS,"UNVERIFIED — Schizophr Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Schizophrenia,Hallucinations (multisite),,Kantrowitz,USA,2019,Schizophr Bull? / Neuropsychopharmacology,Multisite RCT of fronto-temporal tDCS for hallucinations,RCT (n=89),Multisite,Anodal + cathodal,Left DLPFC (F3),Left temporoparietal,2,35,0.057,20,10,☹/☺ Mixed: no clear primary-outcome benefit,https://pubmed.ncbi.nlm.nih.gov/?term=Kantrowitz%202019%20tDCS,"UNVERIFIED — Schizophr Bull? / Neuropsychopharmacology full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Alcohol,,Boggio,Brazil,2008,Drug Alcohol Depend,Bilateral DLPFC tDCS reduces alcohol craving,Crossover (n=13),Cue exposure,Anodal/cathodal (bilateral),Right or left DLPFC,Contralateral DLPFC,2,35,0.057,20,1,☺ ↓ alcohol craving vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202008%20tDCS,"UNVERIFIED — Drug Alcohol Depend full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Alcohol RCT,,Klauss,Brazil,2014,Int J Neuropsychopharmacol,Bilateral DLPFC tDCS in alcohol dependence (relapse),RCT (n=33),5 sessions,Anodal R / cathodal L,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,13,5,☺ ↓ relapse rate vs sham at follow-up,https://pubmed.ncbi.nlm.nih.gov/?term=Klauss%202014%20tDCS,"UNVERIFIED — Int J Neuropsychopharmacol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Alcohol RCT,,Klauss,Brazil,2018,Front Pharmacol,Repeated DLPFC tDCS reduces craving & relapse in AUD,RCT,Multiple sessions,Anodal R / cathodal L,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,10,☺ ↓ craving & ↑ abstinence,https://pubmed.ncbi.nlm.nih.gov/?term=Klauss%202018%20tDCS,"VERIFIED (Front Pharmacol fphar.2018.00716): 35 cm², 2 mA, 20 min, 10 sessions, F4 anode / F3 cathode [corrected N sessions 5→10]",,,
,Addiction / craving,Smoking,,Fregni,Brazil,2008,J Clin Psychiatry,Prefrontal tDCS reduces cue-provoked smoking craving,Crossover (n=24),Bilateral DLPFC,Anodal/cathodal (bilateral),Left DLPFC (F3),Right DLPFC (F4),2,35,0.057,20,1,☺ ↓ smoking craving vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202008%20tDCS,"UNVERIFIED — J Clin Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Smoking (repeated),,Boggio,Brazil,2009,Drug Alcohol Depend,Repeated DLPFC tDCS cumulatively reduces smoking craving & consumption,RCT (n=27),5 consecutive days,Anodal L / cathodal R,Left DLPFC (F3),Right DLPFC (F4),2,35,0.057,20,5,☺ ↓ craving & cigarettes smoked,https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202009%20tDCS,"UNVERIFIED — Drug Alcohol Depend full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Smoking,,Fecteau,Canada,2014,Drug Alcohol Depend,Bilateral DLPFC tDCS reduces cigarette consumption,RCT (n=12),Consumption outcome,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,30,5,☺ ↓ cigarettes smoked vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fecteau%202014%20tDCS,"UNVERIFIED — Drug Alcohol Depend full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Crack-cocaine,,Batista,Brazil,2015,Front Psychiatry? / Drug Alcohol Depend,Bilateral DLPFC tDCS in crack-cocaine dependence,RCT (n=36),Craving & QoL,Anodal R / cathodal L,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,5,☺ ↓ craving; ↑ quality of life,https://pubmed.ncbi.nlm.nih.gov/?term=Batista%202015%20tDCS,"UNVERIFIED — Front Psychiatry? / Drug Alcohol Depend full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Addiction / craving,Cannabis (risk),,Boggio,Brazil,2010,J Psychopharmacol,DLPFC tDCS alters risk-taking in marijuana users,Crossover (n=25),BART risk-taking,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,1,☺ ↓ craving; altered risk behaviour,https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202010%20tDCS,"UNVERIFIED — J Psychopharmacol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Appetite / craving,Food craving,,Fregni,Brazil / USA,2008,Appetite,Right-anodal DLPFC tDCS reduces food craving,Crossover (n=23),Right > left,Anodal R / cathodal L,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,1,☺ ↓ food craving (right-anodal),https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202008%20tDCS,"UNVERIFIED — Appetite full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Appetite / craving,Food craving,,Goldman,USA,2011,Appetite,Anodal right DLPFC tDCS reduces craving for viewed foods,Crossover (n=19),Cue-induced craving,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,1,☺ ↓ craving vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Goldman%202011%20tDCS,"UNVERIFIED — Appetite full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Appetite / craving,Food intake,,Jauch-Chara,Germany,2014,Diabetes,Anodal prefrontal tDCS reduces caloric intake,RCT (n=14),Buffet intake,Anodal,Prefrontal,Extracephalic,1,35,0.029,20,8,☺ ↓ food intake vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Jauch-Chara%202014%20tDCS,"UNVERIFIED — Diabetes full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
★,Epilepsy,Refractory / focal,,Fregni,Brazil / USA,2006,Epilepsia,Cathodal tDCS over epileptogenic focus reduces seizures,RCT (n=19),Single session,Cathodal,Epileptogenic focus,Contralateral / extracephalic,1,35,0.029,20,1,☺ ↓ seizures (−44%) & discharges vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202006%20tDCS,"UNVERIFIED — Epilepsia full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Epilepsy,Children (focal),,Auvichayapat,Thailand,2013,Brain Stimul,Cathodal tDCS reduces seizures & discharges in childhood focal epilepsy,RCT (n=36),Pediatric,Cathodal,Epileptogenic focus,Contralateral shoulder,1,35,0.029,20,1,☺ ↓ seizure frequency & EEG spikes,https://pubmed.ncbi.nlm.nih.gov/?term=Auvichayapat%202013%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Epilepsy,Temporal lobe,,San-Juan,Mexico,2017,Brain Stimul,Cathodal tDCS for mesial temporal lobe epilepsy (RCT),RCT (n=28),3 consecutive days,Cathodal,Temporal focus,Contralateral,2,35,0.057,30,3,☺ ↓ seizures for up to 2 months,https://pubmed.ncbi.nlm.nih.gov/?term=San-Juan%202017%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Epilepsy,Refractory (multicenter),,Yang,China,2020,Epilepsia / Ann Clin Transl Neurol,Multicenter cathodal tDCS for refractory focal epilepsy,RCT (n=70),3-arm multicenter,Cathodal,Epileptogenic focus,Contralateral,2,35,0.057,20,14,☺ ↓ seizure frequency vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Yang%202020%20tDCS,"UNVERIFIED — Epilepsia / Ann Clin Transl Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,ADHD,Adult inattention,,Leffa,Brazil,2022,JAMA Psychiatry,Home-based right-DLPFC tDCS for inattention in adult ADHD,RCT (n=64),28 home sessions,Anodal,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,30,28,☺ ↓ inattention vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Leffa%202022%20tDCS,"UNVERIFIED — JAMA Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,ADHD,Adult,,Cachoeira,Brazil,2017,Psychiatry Res,Anodal right-DLPFC tDCS reduces ADHD symptoms,RCT (n=17),Clinical symptoms,Anodal,Right DLPFC (F4),Left DLPFC (F3),2,35,0.057,20,5,☺ ↓ inattention & clinician-rated symptoms,https://pubmed.ncbi.nlm.nih.gov/?term=Cachoeira%202017%20tDCS,"UNVERIFIED — Psychiatry Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,ADHD,Children (WM),,Soltaninejad,Iran,2019,J Atten Disord,Anodal DLPFC tDCS improves inhibition/WM in ADHD adolescents,Crossover,Cognitive outcomes,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,15,1,☺ ↑ inhibitory control / WM,https://pubmed.ncbi.nlm.nih.gov/?term=Soltaninejad%202019%20tDCS,"UNVERIFIED — J Atten Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,ADHD,Single session,,Cosmo,Brazil,2015,PLoS One,Single-session anodal DLPFC tDCS in adult ADHD (inhibition),RCT (n=60),Go/No-Go,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,1,☹ No effect on inhibitory control,https://pubmed.ncbi.nlm.nih.gov/?term=Cosmo%202015%20tDCS,"UNVERIFIED — PLoS One full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Autism,Symptoms,,Amatachaya,Thailand,2014,Behav Neurol,Anodal DLPFC tDCS improves autism symptom scores (CARS/ATEC),RCT crossover (n=20),Children,Anodal,F3 (left DLPFC),Right shoulder,1,35,0.029,20,1,☺ ↓ CARS/ATEC vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Amatachaya%202014%20tDCS,"UNVERIFIED — Behav Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Autism,EEG,,Amatachaya,Thailand,2015,Neural Plast,Anodal DLPFC tDCS: EEG correlates of symptom improvement,RCT crossover (n=20),Follow-up EEG,Anodal,F3 (left DLPFC),Right shoulder,1,35,0.029,20,1,☺ Symptom change linked to alpha activity,https://pubmed.ncbi.nlm.nih.gov/?term=Amatachaya%202015%20tDCS,"UNVERIFIED — Neural Plast full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Autism,Theory of mind,,Zemestani,Iran,2022,Autism Res,Prefrontal tDCS improves theory-of-mind & emotion regulation in ASD,RCT (n=..),"Children, parallel-group",Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,10,☺ ↑ ToM & emotion regulation,https://pubmed.ncbi.nlm.nih.gov/?term=Zemestani%202022%20tDCS,"UNVERIFIED — Autism Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Tinnitus,Bifrontal,,Vanneste,Belgium,2010,Exp Brain Res,Bifrontal DLPFC tDCS transiently suppresses tinnitus,Crossover,Bifrontal montage,Anodal R / cathodal L,Right DLPFC,Left DLPFC,1.5,35,0.043,20,1,☺ (modest) Transient tinnitus suppression,https://pubmed.ncbi.nlm.nih.gov/?term=Vanneste%202010%20tDCS,"UNVERIFIED — Exp Brain Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Tinnitus,Auditory cortex,,Fregni,USA / Brazil,2006,Eur J Neurol,Anodal auditory-cortex tDCS transiently reduces tinnitus,Crossover,Temporoparietal target,Anodal,Left temporoparietal (auditory),Contralateral supraorbital,1,35,0.029,3,1,☺ (modest) Transient loudness ↓,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202006%20tDCS,"UNVERIFIED — Eur J Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Tinnitus,Repeated bifrontal,,Frank,Germany,2012,J Neurol,Repeated bifrontal tDCS for chronic tinnitus,Open/RCT (n=32),Multiple sessions,Anodal R / cathodal L,Right DLPFC,Left DLPFC,1.5,35,0.043,30,6,☺ (modest) ↓ tinnitus distress in subset,https://pubmed.ncbi.nlm.nih.gov/?term=Frank%202012%20tDCS,"UNVERIFIED — J Neurol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Tinnitus,Auditory cortex RCT,,Pal,India,2015,Brain Stimul,Cathodal auditory-cortex / anodal prefrontal tDCS for tinnitus,RCT (n=40),5 sessions,Cathodal (auditory) + anodal (PFC),Prefrontal,Left auditory cortex,2,35,0.057,20,5,☺ (modest) ↓ tinnitus severity,https://pubmed.ncbi.nlm.nih.gov/?term=Pal%202015%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Alzheimer's / dementia,Recognition memory,,Ferrucci,Italy,2008,Neurology,Anodal temporoparietal tDCS improves recognition memory in AD,Crossover (n=10),Word recognition,Anodal,Bilateral temporoparietal,Right deltoid,1.5,35,0.043,15,1,☺ ↑ recognition memory (anodal); cathodal ↓,https://pubmed.ncbi.nlm.nih.gov/?term=Ferrucci%202008%20tDCS,"UNVERIFIED — Neurology full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Alzheimer's / dementia,Recognition memory,,Boggio,Brazil,2009,J Neurol Neurosurg Psychiatry,Temporal tDCS improves visual recognition memory in AD,Crossover (n=10),Temporal target,Anodal,Bilateral temporal (T3/T4),Right deltoid,2,35,0.057,30,1,☺ ↑ visual recognition memory,https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202009%20tDCS,"UNVERIFIED — J Neurol Neurosurg Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Alzheimer's / dementia,Memory (repeated),,Boggio,Brazil,2012,Brain Stimul,Repeated temporal tDCS gives prolonged memory gains in AD,RCT (n=15),5 daily sessions,Anodal,Bilateral temporal (T3/T4),Right deltoid,2,35,0.057,30,5,☺ ↑ recognition memory; persisted,https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202012%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Alzheimer's / dementia,Cognition RCT,,Khedr,Egypt,2014,Front Aging Neurosci,Anodal vs cathodal DLPFC tDCS for AD cognition,RCT (n=34),Both polarities tested,Anodal / cathodal,Left DLPFC (F3),Contralateral supraorbital,2,35,0.057,25,10,☺ ↑ MMSE vs sham; sustained ~2 mo,https://pubmed.ncbi.nlm.nih.gov/?term=Khedr%202014%20tDCS,"UNVERIFIED — Front Aging Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Alzheimer's / dementia,Home / null,,Bystad,Norway,2016,Alzheimers Res Ther,Anodal temporal tDCS for AD memory (RCT),RCT (n=25),Left temporal,Anodal,Left temporal cortex (T3),Right frontal,2,35,0.057,30,6,☹ No significant memory improvement,https://pubmed.ncbi.nlm.nih.gov/?term=Bystad%202016%20tDCS,"UNVERIFIED — Alzheimers Res Ther full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,MCI,Cognitive training,,Cotelli,Italy,2014,Front Aging Neurosci,Anodal DLPFC tDCS + memory training in aMCI,RCT (n=..),Combined with training,Anodal,Left DLPFC (F3),Right deltoid,2,35,0.057,25,10,☺ ↑ face-name association vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Cotelli%202014%20tDCS,"UNVERIFIED — Front Aging Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Multiple sclerosis,Fatigue,,Ferrucci,Italy,2014,NeuroRehabilitation,Bilateral somatosensory tDCS reduces MS fatigue,RCT crossover (n=..),Whole-body fatigue,Anodal,Bilateral S1,Occipital / neck,1.5,35,0.043,15,5,☺ ↓ fatigue (FSS) vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Ferrucci%202014%20tDCS,"UNVERIFIED — NeuroRehabilitation full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
