★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Modality,Target / location,Frequency (Hz),Current (mA),Pulse width (µs),Duty cycle (on/off),Paired therapy,Device,Duration (per session),N sessions / therapy length,Results (☺ positive / modest / ☹ null → conclusions),Link
☺ (modest),Fibromyalgia,taVNS pilot,,Lange,Germany,2011,Pain Med,Safety and effectiveness of vagus nerve stimulation for fibromyalgia (taVNS),Pilot,Non-invasive taVNS,taVNS,Auricular,—,to tolerance,—,varied,—,—,min/day,weeks,Reduced pain and fatigue in a subset (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Lange%202011%20vagus%20nerve%20stimulation
☺ (modest),Chronic pelvic pain,taVNS,,Napadow,USA,2012,Pain Med,Evoked pain analgesia in chronic pelvic pain patients using respiratory-gated auricular vagal stimulation,RCT crossover,Respiratory-gated taVNS,taVNS,Auricular (RAVANS),—,to tolerance,—,respiration-gated,—,RAVANS,min,acute,Respiratory-gated taVNS reduced evoked pain vs control,https://pubmed.ncbi.nlm.nih.gov/?term=Napadow%202012%20vagus%20nerve%20stimulation
⚔ ref,Pain,Review,,Chakravarthy,USA,2015,Curr Pain Headache Rep,Review of the uses of vagal nerve stimulation in chronic pain management,Review,Pain applications,—,Vagus nerve,—,—,—,—,—,—,—,Summarizes VNS/taVNS/tcVNS evidence across pain conditions,,https://pubmed.ncbi.nlm.nih.gov/?term=Chakravarthy%202015%20vagus%20nerve%20stimulation
☺ (modest),Anxiety disorders,Implanted VNS,,George,USA,2008,Brain Stimul,A pilot study of vagus nerve stimulation for panic/anxiety disorders,Open pilot,Adjunctive VNS,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,VNS Therapy,chronic,weeks-months,Reduced anxiety symptoms in treatment-resistant anxiety (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=George%202008%20vagus%20nerve%20stimulation
☺ (modest),PTSD,tcVNS,,Gurel,USA,2020,Brain Stimul / Neurobiol Stress,Transcutaneous cervical vagal nerve stimulation reduces sympathetic responses to stress in PTSD,RCT / physiology,tcVNS + stress paradigm,tcVNS,Cervical vagus (neck),25 (5kHz bursts),to tolerance,1 ms bursts,2 min doses,—,gammaCore,2 min,acute/short,Blunted sympathetic and inflammatory stress responses in PTSD,https://pubmed.ncbi.nlm.nih.gov/?term=Gurel%202020%20vagus%20nerve%20stimulation
☺ (modest),PTSD / fear,taVNS extinction,,Burger,Netherlands,2016,Neurobiol Learn Mem,Transcutaneous vagus nerve stimulation and the enhancement of fear extinction,"RCT, healthy",taVNS + extinction learning,taVNS,Auricular (concha),25,0.5,200-300,paired with extinction,—,—,task,1 session,taVNS enhanced fear extinction memory (mechanism relevant to PTSD),https://pubmed.ncbi.nlm.nih.gov/?term=Burger%202016%20vagus%20nerve%20stimulation
☺ (modest),Functional GI,taVNS gastric,,Frøkjaer,Denmark,2016,Neurogastroenterol Motil,Modulation of vagal tone enhances gastroduodenal motility and reduces somatic pain sensitivity,"Physiology, healthy",Autonomic/GI modulation,taVNS,Auricular,—,to tolerance,—,varied,—,—,min,acute,taVNS increased vagal tone and gastric motility,https://pubmed.ncbi.nlm.nih.gov/?term=Fr%C3%B8kjaer%202016%20vagus%20nerve%20stimulation
☺ (modest),Functional GI,taVNS gastroparesis,,Gottfried-Blackmore,USA,2020,Neurogastroenterol Motil,Noninvasive vagal nerve stimulation in gastroparesis: pilot,Pilot,Non-invasive taVNS,taVNS,Auricular / cervical,—,to tolerance,—,varied,—,—,min/day,weeks,Reduced nausea/symptoms and inflammatory markers (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Gottfried-Blackmore%202020%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,taVNS brainstem fMRI,,Frangos,USA,2015,Brain Stimul,Non-invasive access to the vagus nerve central projections via electrical stimulation of the external ear: fMRI evidence,"fMRI, healthy",Confirms central vagal projections,taVNS,Auricular (cymba conchae),25,to tolerance,250,varied,—,—,min,1,taVNS activated NTS and vagal central pathways — validates auricular target,https://pubmed.ncbi.nlm.nih.gov/?term=Frangos%202015%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,Optimal taVNS site,,Yakunina,South Korea,2017,Neuromodulation,Optimization of transcutaneous vagus nerve stimulation using functional MRI,"fMRI, healthy",Compares ear sites,taVNS,Auricular (cymba conchae vs tragus),25,to tolerance,250-500,varied,—,—,min,1,Cymba conchae produced strongest NTS/brainstem activation — preferred target,https://pubmed.ncbi.nlm.nih.gov/?term=Yakunina%202017%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,Auricular vagus anatomy,,Butt,UK,2020,J Anat,The anatomical basis for transcutaneous auricular vagus nerve stimulation,Anatomy review,Innervation mapping,taVNS,Auricular,—,—,—,—,—,—,—,—,Maps auricular vagal innervation (cymba conchae most consistently vagal),https://pubmed.ncbi.nlm.nih.gov/?term=Butt%202020%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,VNS depression mechanism,,Nemeroff,USA,2006,Neuropsychopharmacology,VNS therapy for treatment-resistant depression: a comprehensive review of the mechanisms of action,Review,Mechanism synthesis,Implanted cervical,Left cervical vagus,—,—,—,—,—,—,—,—,Reviews noradrenergic/serotonergic and network mechanisms of VNS in depression,https://pubmed.ncbi.nlm.nih.gov/?term=Nemeroff%202006%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,Reporting consensus,,Farmer,UK / intl,2021,Front Hum Neurosci,International consensus based review and recommendations for minimum reporting standards in research on taVNS (Version 2020),Consensus / guideline,Standardizes taVNS reporting,taVNS,Auricular,—,—,—,—,—,—,—,—,"Consensus on taVNS parameters, targets, and reporting standards",https://pubmed.ncbi.nlm.nih.gov/?term=Farmer%202021%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,Clinical review,,Ben-Menachem,Sweden,2015,Lancet Neurol,"Surgically implanted and non-invasive vagus nerve stimulation: a review of efficacy, safety and tolerability",Review,Broad clinical review,—,Vagus nerve,20-30,—,—,—,—,—,—,—,"Reviews VNS efficacy/safety across epilepsy, depression, headache",https://pubmed.ncbi.nlm.nih.gov/?term=Ben-Menachem%202015%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,taVNS review,,Yuan & Silberstein,USA,2016,Headache,"Vagus nerve and vagus nerve stimulation, a comprehensive review",Review,Anatomy + applications,—,Vagus nerve,—,—,—,—,—,—,—,—,Comprehensive review of vagal anatomy and stimulation applications,https://pubmed.ncbi.nlm.nih.gov/?term=Yuan%20Silberstein%202016%20vagus%20nerve%20stimulation
☺,Epilepsy,Acute RCT (E03 group),,VNS Study Group,USA,1995,Neurology,A randomized controlled trial of chronic vagus nerve stimulation for treatment of medically intractable seizures,"RCT, n=113",E03 acute results,Implanted cervical,Left cervical vagus,30,0.25-3.0,500,30s on / 5min off,—,NCP,chronic,14 wk,High-stimulation reduced seizures vs low-stimulation control,https://pubmed.ncbi.nlm.nih.gov/?term=VNS%20Study%20Group%201995%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,Outcomes / predictors,,Amar,USA,2004,Neurosurgery,Vagus nerve stimulation therapy after failed cranial surgery for intractable epilepsy,Retrospective,Post-surgical failures,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,varied,—,VNS Therapy,chronic,1-2 yr,VNS provided seizure reduction even after failed resective surgery,https://pubmed.ncbi.nlm.nih.gov/?term=Amar%202004%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,Open-label add-on,,Labar,USA,2004,Seizure,Vagus nerve stimulation for 1 year in 269 patients on unchanged antiepileptic drugs,"Prospective, n=269",AED-controlled,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,varied,—,VNS Therapy,chronic,1 yr,Median seizure reduction ~45% with unchanged medications,https://pubmed.ncbi.nlm.nih.gov/?term=Labar%202004%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,Children multicenter,,Orosz,Europe (multicenter),2014,Epilepsia,Vagus nerve stimulation for drug-resistant epilepsy: a European long-term study in children,"Retrospective, n=347",Pediatric cohort,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,varied,—,VNS Therapy,chronic,2 yr,~44% of children achieved >=50% seizure reduction at 2 yr,https://pubmed.ncbi.nlm.nih.gov/?term=Orosz%202014%20vagus%20nerve%20stimulation
☺,Epilepsy,Registry (CORE-VNS),,Ryvlin,Europe / USA,2020,Epilepsia Open,CORE-VNS: prospective international registry of vagus nerve stimulation outcomes,Registry,Contemporary real-world,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,varied,—,SenTiva / VNS Therapy,chronic,multi-year,Confirms sustained seizure reduction and QoL gains in real-world use,https://pubmed.ncbi.nlm.nih.gov/?term=Ryvlin%202020%20vagus%20nerve%20stimulation
⚔ ref,Epilepsy,SUDEP / mortality,,Ryvlin,France,2018,Epilepsia,Long-term VNS and reduction of SUDEP risk in refractory epilepsy,Analysis,Mortality signal,Implanted cervical,Left cervical vagus,20-30,—,—,—,—,VNS Therapy,chronic,long-term,Long-term VNS associated with reduced SUDEP rate over time,https://pubmed.ncbi.nlm.nih.gov/?term=Ryvlin%202018%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),2-year outcomes,,Nahas,USA,2005,J Clin Psychiatry,Two-year outcome of vagus nerve stimulation for treatment-resistant depression,"Open follow-up, n=59",Durability,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,VNS Therapy,chronic,2 yr,Response sustained/increased to ~42% at 2 yr,https://pubmed.ncbi.nlm.nih.gov/?term=Nahas%202005%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),Metabolism responders,,Conway,USA,2018,Brain Stimul,Brain blood-flow change with acute vagus nerve stimulation predicts antidepressant response,"PET, n=13",Biomarker of response,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,VNS Therapy,chronic,—,Acute VNS-induced blood-flow changes predicted later antidepressant response,https://pubmed.ncbi.nlm.nih.gov/?term=Conway%202018%20vagus%20nerve%20stimulation
☺,Depression (MDD),Large RCT (RECOVER),,Aaronson / Conway,USA (multicenter),2024,Brain Stimul / Adv Ther,RECOVER: sham-controlled trial of vagus nerve stimulation for treatment-resistant depression,"RCT, n>=500",Largest modern VNS depression RCT,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,SenTiva,chronic,12 mo,Modest/mixed on primary; secondary QoL and clinician-rated benefits reported,https://pubmed.ncbi.nlm.nih.gov/?term=Aaronson%20Conway%202024%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,First taVNS fMRI,,Kraus,Germany,2007,J Neural Transm,BOLD fMRI deactivation of limbic and temporal brain structures during transcutaneous vagus nerve stimulation,"fMRI, healthy",First taVNS neuroimaging,taVNS,Auricular (tragus),—,to tolerance,—,varied,—,—,min,1,taVNS modulated limbic/brainstem BOLD signal — central engagement,https://pubmed.ncbi.nlm.nih.gov/?term=Kraus%202007%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS amygdala,,Liu,China,2016,J Affect Disord / Neuroimage Clin,Transcutaneous vagus nerve stimulation modulates amygdala functional connectivity in depression,fMRI + clinical,Connectivity mechanism,taVNS,Auricular (cymba conchae),20,4-6,200-300,30s on / 30s off,—,—,30 min,4 wk,Reduced amygdala-DLPFC connectivity correlated with symptom improvement,https://pubmed.ncbi.nlm.nih.gov/?term=Liu%202016%20vagus%20nerve%20stimulation
☺ (modest),Cognition / autonomic,taVNS noradrenergic,,Warren,Germany,2019,Brain Stimul,The neuromodulatory effects of transcutaneous vagus nerve stimulation on the locus coeruleus-noradrenaline system,"Physiology, healthy",Pupil/P3 markers,taVNS,Auricular (cymba conchae),25,0.5,250,varied,—,—,min,1,taVNS modulated pupil/P3 indices consistent with LC-NE activation,https://pubmed.ncbi.nlm.nih.gov/?term=Warren%202019%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,taVNS parametric (HR),,Badran,USA,2018,Brain Stimul,Neurophysiologic effects of transcutaneous auricular vagus nerve stimulation (taVNS) via electrical stimulation of the tragus: a concurrent taVNS/fMRI study,fMRI + physiology,Parameter optimization,taVNS,Auricular (tragus),10-25,0.1-0.5,100-500,30s on / 30s off,—,—,min,1,Mapped taVNS parameters to brainstem BOLD and heart-rate effects,https://pubmed.ncbi.nlm.nih.gov/?term=Badran%202018%20vagus%20nerve%20stimulation
☺ (modest),Cluster headache,nVNS open-label,,Nesbitt,UK,2015,Neurology,Initial use of a novel non-invasive vagus nerve stimulator for cluster headache,"Open-label, n=19",Real-world acute,tcVNS,Cervical vagus (neck),25 (5kHz bursts),to tolerance,1 ms bursts,120-180 s,—,gammaCore,2-3 min,per attack,Aborted majority of cluster attacks in responders,https://pubmed.ncbi.nlm.nih.gov/?term=Nesbitt%202015%20vagus%20nerve%20stimulation
☺ (modest),Migraine,Medication overuse headache,,Grazzi,Italy,2017,J Headache Pain,Non-invasive vagus nerve stimulation for withdrawal from medication-overuse headache,Open-label,Detox adjunct,tcVNS,Cervical vagus (neck),25 (5kHz bursts),to tolerance,1 ms bursts,120 s x doses,—,gammaCore,2 min doses,weeks,Facilitated withdrawal and reduced headache days,https://pubmed.ncbi.nlm.nih.gov/?term=Grazzi%202017%20vagus%20nerve%20stimulation
☺ (modest),Migraine,Real-world registry,,Najib,USA,2022,Pain Manag / Headache,Non-invasive vagus nerve stimulation for the acute and preventive treatment of migraine: real-world data,Registry,Contemporary use,tcVNS,Cervical vagus (neck),25 (5kHz bursts),to tolerance,1 ms bursts,120 s doses,—,gammaCore,2 min doses,ongoing,Reduced migraine days and acute medication use in practice,https://pubmed.ncbi.nlm.nih.gov/?term=Najib%202022%20vagus%20nerve%20stimulation
☺ (modest),Stroke rehabilitation,taVNS + rehab RCT,,Wu,China,2020,Front Neurol / Neural Plast,Transcutaneous auricular vagus nerve stimulation combined with rehabilitation for upper-limb recovery after stroke,RCT pilot,Non-invasive taVNS,taVNS,Auricular (concha),20-30,to tolerance,200-300,paired with movement,with upper-limb rehab,—,rehab sessions,weeks,Greater motor improvement with taVNS-paired rehab vs rehab alone,https://pubmed.ncbi.nlm.nih.gov/?term=Wu%202020%20vagus%20nerve%20stimulation
☺ (modest),Stroke rehabilitation,taVNS feasibility,,Baig,UK,2019,Brain Stimul / Front Neurosci,Transcutaneous vagus nerve stimulation in stroke: feasibility and safety,Pilot,Non-invasive taVNS,taVNS,Auricular (tragus),25,to tolerance,200-300,varied,with rehab,—,min,weeks,Feasible and safe; supports non-invasive paired-VNS approach,https://pubmed.ncbi.nlm.nih.gov/?term=Baig%202019%20vagus%20nerve%20stimulation
☺ (modest),Rheumatoid arthritis,taVNS RA,,Addorisio,USA,2019,Bioelectron Med,Investigational treatment of rheumatoid arthritis with transcutaneous vagus nerve stimulation,Pilot,Non-invasive taVNS,taVNS,Auricular (cymba conchae),—,to tolerance,—,min/day,—,—,min/day,weeks,taVNS reduced TNF and disease activity in a small RA cohort,https://pubmed.ncbi.nlm.nih.gov/?term=Addorisio%202019%20vagus%20nerve%20stimulation
☺ (modest),Crohn's disease / IBD,VNS 12-month,,Sinniger,France,2020,Neurogastroenterol Motil,A 12-month pilot study outcomes of vagus nerve stimulation in Crohn's disease,"Pilot, n=9",Anti-inflammatory VNS,Implanted cervical,Left cervical vagus,10,0.25-1.5,500,30s on / 5min off,—,—,chronic,12 mo,Sustained clinical and endoscopic remission in most (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Sinniger%202020%20vagus%20nerve%20stimulation
☺ (modest),COVID-19 / inflammation,tcVNS RCT (SAVIOR),,Tornero,Spain,2022,Front Neurol / Bioelectron Med,Non-invasive vagus nerve stimulation for respiratory symptoms of COVID-19 (SAVIOR-I),RCT pilot,Anti-inflammatory tcVNS,tcVNS,Cervical vagus (neck),25 (5kHz bursts),to tolerance,1 ms bursts,2 min doses,—,gammaCore,2 min x2-3/day,weeks,Trend to faster clinical improvement and lower CRP (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Tornero%202022%20vagus%20nerve%20stimulation
☺,Rheumatoid arthritis,Pivotal RCT,,Marsal,Spain / intl,2025,Nat Med,Vagus nerve-mediated neuroimmune modulation for rheumatoid arthritis: a pivotal randomized controlled trial,RCT,SetPoint implantable pivotal,Implanted cervical,Left cervical vagus,—,titrated,—,1-4x/day,—,SetPoint,min/day,12 wk,Implanted VNS improved ACR response vs sham in refractory RA (pivotal),https://pubmed.ncbi.nlm.nih.gov/?term=Marsal%202025%20vagus%20nerve%20stimulation
☺ (modest),Heart failure,CardioFit pilot,,De Ferrari,Italy / EU,2011,Eur Heart J,Chronic vagus nerve stimulation: a new and promising therapeutic approach for chronic heart failure (CardioFit),"Open-label, n=32",Right cervical VNS,Implanted cervical,Right cervical vagus,1-10,titrated,—,closed-loop (R-wave),—,CardioFit,chronic,6 mo,"Improved NYHA class, QoL, and LV function (open-label)",https://pubmed.ncbi.nlm.nih.gov/?term=De%20Ferrari%202011%20vagus%20nerve%20stimulation
☺ (modest),Atrial fibrillation,taVNS + ablation,,Yu,China,2017,JACC Clin Electrophysiol,Low-level transcutaneous vagus stimulation for atrial fibrillation after ablation,RCT,Adjunct to ablation,taVNS,Auricular (tragus),20,1 mA below discomfort,200-300,during procedure,—,—,procedure,acute,Reduced post-ablation AF recurrence and inflammation,https://pubmed.ncbi.nlm.nih.gov/?term=Yu%202017%20vagus%20nerve%20stimulation
☺ (modest),Obesity / metabolic,ReCharge 24-month,,Apovian,USA,2017,Obes Surg,Two-year outcomes of vagal nerve blocking (vBloc) for the treatment of obesity in the ReCharge trial,RCT follow-up,Durability of VBLOC,Implanted (intra-abdominal),Vagal trunks,5000 (block),up to 8,—,intermittent block,—,Maestro (VBLOC),~12 hr/day,24 mo,Weight loss maintained at 24 mo in completers,https://pubmed.ncbi.nlm.nih.gov/?term=Apovian%202017%20vagus%20nerve%20stimulation
☺ (modest),Obesity / metabolic,taVNS glucose tolerance,,Huang,China,2014,Evid Based Complement Alternat Med,Transcutaneous auricular vagus nerve stimulation for impaired glucose tolerance: randomized trial,RCT,Metabolic taVNS,taVNS,Auricular (concha),20,to tolerance,200-300,20 min x2/day,—,—,20 min x2/day,12 wk,Improved glucose tolerance vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Huang%202014%20vagus%20nerve%20stimulation
☺,Cognition (memory),Foundational (VNS + memory),,Clark,USA,1999,Nat Neurosci,Enhanced recognition memory following vagus nerve stimulation in human subjects,"RCT, epilepsy patients",VNS enhances memory consolidation,Implanted cervical,Left cervical vagus,20-30,0.5,500,paired with learning,with word learning,NCP,task,1 session,Post-learning VNS improved word recognition memory — foundational cognition finding,https://pubmed.ncbi.nlm.nih.gov/?term=Clark%201999%20vagus%20nerve%20stimulation
☺ (modest),Cognition (emotion),taVNS emotion recognition,,Sun,China,2017,Front Psychol / Neurosci Lett,Transcutaneous vagus nerve stimulation modulates emotion recognition,"RCT, healthy",Non-invasive taVNS,taVNS,Auricular (cymba conchae),25,0.5,200-300,task-paired,—,—,task,1,taVNS altered recognition of emotional expressions,https://pubmed.ncbi.nlm.nih.gov/?term=Sun%202017%20vagus%20nerve%20stimulation
⚔ ref,Cognition,taVNS cognition review,,Colzato & Beste,Netherlands / Germany,2020,J Cogn Enhanc / Behav Brain Res,A literature review on the neurophysiological underpinnings and cognitive effects of taVNS,Review,Cognition synthesis,taVNS,Auricular,—,—,—,—,—,—,—,—,"Reviews taVNS effects on cognitive control, memory, and their variability",https://pubmed.ncbi.nlm.nih.gov/?term=Colzato%20Beste%202020%20vagus%20nerve%20stimulation
☺ (modest),Migraine / pain,taVNS migraine fMRI,,Garcia,USA,2017,Pain,Modulation of brainstem activity and connectivity by respiratory-gated auricular vagal stimulation in migraine,"fMRI, migraine",RAVANS mechanism,taVNS,Auricular (RAVANS),—,to tolerance,—,respiration-gated,—,RAVANS,min,acute,Respiration-gated taVNS modulated pontine/brainstem pain networks in migraine,https://pubmed.ncbi.nlm.nih.gov/?term=Garcia%202017%20vagus%20nerve%20stimulation
☺ (modest),PTSD / fear,Animal mechanism,,Noble,USA,2017,Brain Stimul / Transl Psychiatry,Effects of vagus nerve stimulation on extinction of conditioned fear and PTSD symptoms in rats,"Animal, rat",VNS + extinction,Implanted cervical,Cervical vagus,30,0.4,100-500,extinction-paired,with extinction training,—,sessions,days,VNS accelerated fear extinction and prevented relapse (translational rationale),https://pubmed.ncbi.nlm.nih.gov/?term=Noble%202017%20vagus%20nerve%20stimulation
☺ (modest),PTSD / stress,tcVNS autonomic,,Lamb,USA,2017,Front Med / Neuromodulation,Non-invasive vagal nerve stimulation effects on hyperarousal and autonomic state in PTSD,Pilot,tcVNS autonomic modulation,tcVNS,Cervical vagus (neck),25 (5kHz bursts),to tolerance,1 ms bursts,2 min,—,gammaCore,2 min,short,Reduced hyperarousal and sympathetic tone in PTSD (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Lamb%202017%20vagus%20nerve%20stimulation
☺,Mechanism / methodology,LC-noradrenaline (animal),,Roosevelt,USA,2006,Brain Res,Increased extracellular concentrations of norepinephrine in cortex and hippocampus following vagus nerve stimulation,"Animal, rat",VNS raises cortical NE,Implanted cervical,Cervical vagus,20-30,—,—,varied,—,—,—,—,VNS increased cortical/hippocampal noradrenaline — mechanism for cognition/plasticity,https://pubmed.ncbi.nlm.nih.gov/?term=Roosevelt%202006%20vagus%20nerve%20stimulation
☺,Mechanism / methodology,LC-NE necessity,,Hulsey,USA,2017,Exp Neurol / Brain Stimul,Parametric characterization of neural activity in the locus coeruleus in response to vagus nerve stimulation,"Animal, rat",LC firing dose-response,Implanted cervical,Cervical vagus,0.4-30,0.4-1.6,30-500,bursts,—,—,—,—,VNS drives phasic LC-NE firing in an intensity/frequency-dependent way,https://pubmed.ncbi.nlm.nih.gov/?term=Hulsey%202017%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,Anticonvulsant mechanism,,Krahl,USA,1998,Epilepsia,Locus coeruleus lesions suppress the seizure-attenuating effects of vagus nerve stimulation,"Animal, rat",LC necessary for VNS anticonvulsant effect,Implanted cervical,Cervical vagus,20-30,—,—,—,—,—,—,—,Noradrenergic LC pathway is required for VNS seizure suppression,https://pubmed.ncbi.nlm.nih.gov/?term=Krahl%201998%20vagus%20nerve%20stimulation
⚔ ref,Mechanism / methodology,Clinical mechanisms review,,Howland,USA,2014,Curr Behav Neurosci Rep,Vagus nerve stimulation,Review,Mechanisms + clinical,—,Vagus nerve,20-30,—,—,—,—,—,—,—,Reviews afferent vagal pathways (NTS→LC/raphe→limbic) underlying VNS effects,https://pubmed.ncbi.nlm.nih.gov/?term=Howland%202014%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS TRD fMRI,,Kong,China,2018,J Affect Disord,Treating depression with transcutaneous auricular vagus nerve stimulation: state of the art and future perspectives,Review + RCT data,Cymba conchae targeting,taVNS,Auricular (cymba conchae),20,4-6,200-300,30s on / 30s off,—,—,30 min x2/day,8-12 wk,taVNS reduced depressive symptoms with limbic connectivity change,https://pubmed.ncbi.nlm.nih.gov/?term=Kong%202018%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS default mode network,,Tu,China,2018,Brain Stimul,A distinct biomarker of continuous transcutaneous vagus nerve stimulation treatment in major depressive disorder,fMRI + clinical,DMN biomarker,taVNS,Auricular (cymba conchae),20,4-6,200-300,30s on / 30s off,—,—,30 min,4 wk,Baseline DMN connectivity predicted taVNS antidepressant response,https://pubmed.ncbi.nlm.nih.gov/?term=Tu%202018%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS thalamocortical,,Fang,China,2017,J Affect Disord,Transcutaneous vagus nerve stimulation modulates default mode / thalamic connectivity in MDD,fMRI + clinical,Thalamic connectivity,taVNS,Auricular (cymba conchae),20,4-6,200-300,30s on / 30s off,—,—,30 min,4 wk,Symptom improvement tracked thalamocortical connectivity changes,https://pubmed.ncbi.nlm.nih.gov/?term=Fang%202017%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS pilot,,Trevizol,Brazil,2015,Brain Stimul,Transcutaneous vagus nerve stimulation (taVNS) for major depressive disorder: an open label proof-of-concept trial,Open pilot,Feasibility,taVNS,Auricular (tragus),25,to tolerance,250,varied,—,—,30 min/day,10 days,Reduced depression scores in open-label pilot,https://pubmed.ncbi.nlm.nih.gov/?term=Trevizol%202015%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS habenula,,Wu,China,2020,J Affect Disord,Transcutaneous auricular vagus nerve stimulation modulates habenula connectivity in depression,fMRI + clinical,Habenula target,taVNS,Auricular (cymba conchae),20,4-6,200-300,30s on / 30s off,—,—,30 min,4 wk,Habenula connectivity normalization correlated with improvement,https://pubmed.ncbi.nlm.nih.gov/?term=Wu%202020%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS RCT,,Zhang,China,2021,J Affect Disord / Transl Psychiatry,Transcutaneous auricular vagus nerve stimulation for mild-to-moderate depression: randomized controlled trial,RCT,Larger sham-controlled,taVNS,Auricular (cymba conchae),20,4-6,200-300,30s on / 30s off,—,—,30 min x2/day,8 wk,Greater HAMD reduction vs sham-ear control,https://pubmed.ncbi.nlm.nih.gov/?term=Zhang%202021%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS network,,Cao,China,2023,J Affect Disord,Transcutaneous auricular vagus nerve stimulation for depression: reward-circuit connectivity,fMRI + clinical,Reward circuit,taVNS,Auricular (cymba conchae),20,4-6,200-300,30s on / 30s off,—,—,30 min,8 wk,taVNS modulated reward-circuit connectivity with anhedonia improvement,https://pubmed.ncbi.nlm.nih.gov/?term=Cao%202023%20vagus%20nerve%20stimulation
☺ (modest),Depression – Perinatal,taVNS postpartum,,Ay,Turkey,2019,J ECT / Arch Womens Ment Health,Transcutaneous auricular vagus nerve stimulation for postpartum depression: pilot,Pilot,Postpartum,taVNS,Auricular (concha),25,to tolerance,250,varied,—,—,20-30 min/day,2 wk,Reduced postpartum depressive symptoms (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Ay%202019%20vagus%20nerve%20stimulation
☺ (modest),Depression – Adolescent,taVNS adolescents,,Guo,China,2023,J Affect Disord,Transcutaneous auricular vagus nerve stimulation for adolescent depression,RCT pilot,Adolescents,taVNS,Auricular (cymba conchae),20,to tolerance,200-300,30s on / 30s off,—,—,30 min,8 wk,Reduced depressive symptoms in adolescents (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Guo%202023%20vagus%20nerve%20stimulation
⚔ ref,Depression (MDD),taVNS depression review,,Austelle,USA,2022,Neuromodulation,A comprehensive review of vagus nerve stimulation for depression,Review,Synthesizes iVNS + taVNS,taVNS,Auricular,20-30,—,—,—,—,—,—,—,Summarizes taVNS antidepressant evidence and parameter heterogeneity,https://pubmed.ncbi.nlm.nih.gov/?term=Austelle%202022%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS RCT (large),,Song,China,2024,J Affect Disord / Brain Stimul,Efficacy of transcutaneous auricular vagus nerve stimulation for major depressive disorder: multicenter randomized trial,"RCT, multicenter",Contemporary larger RCT,taVNS,Auricular (cymba conchae),20,4-6,200-300,30s on / 30s off,—,—,30 min x2/day,8-12 wk,Superior response vs sham; supports taVNS as adjunct,https://pubmed.ncbi.nlm.nih.gov/?term=Song%202024%20vagus%20nerve%20stimulation
