★	Category	Subcategory		First author	Country	Year	Journal	Title	Study type	Notes	Coil type	Target site	Stim type	Freq (Hz)	Intensity (%MT)	Pulses / session	Total pulses (course)	Localization	t / session	N sessions	Results (☺ positive / modest / ☹ null → conclusions)	Link
☺	Depression (MDD)	Meta-analysis (sham-controlled)		Chen	Australia	2013	J Clin Neurosci	rTMS for treatment-resistant depression: systematic review and meta-analysis	Meta-analysis	Pooled HF-L-DLPFC	Figure-8	Left DLPFC	rTMS	10	—	—	—	—	—	—	Significant antidepressant effect vs sham; supports clinical use	https://pubmed.ncbi.nlm.nih.gov/?term=Chen%202013%20TMS
☺	OCD	OFC low-frequency		Ruffini	Italy	2009	J Clin Psychiatry	LF rTMS of the orbitofrontal cortex for treatment-resistant OCD: sham-controlled study	RCT, n=23	1Hz left OFC, 15 sessions	Figure-8	Left OFC	rTMS	1	80% MT	600	9000 (15)	EEG position	—	15	Significant YBOCS reduction vs sham (transient)	https://pubmed.ncbi.nlm.nih.gov/?term=Ruffini%202009%20TMS
☺	OCD	Pre-SMA low-frequency		Gomes	Brazil	2012	J Clin Psychiatry	LF rTMS of the pre-SMA for treatment-resistant OCD: randomized sham-controlled trial	RCT, n=22	~40% responders	Figure-8	Pre-SMA (bilateral)	rTMS	1	100% MT	1200	—	midline SMA	~20 min	10	~40% response; YBOCS reduced vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Gomes%202012%20TMS
☺ (modest)	OCD	OFC crossover		Nauczyciel	France	2014	Transl Psychiatry	rTMS over the OFC for OCD: double-blind crossover study	RCT crossover	1Hz right OFC	Figure-8	Right OFC	rTMS	1	—	—	—	neuronavigation	—	crossover	Reduced OCD symptoms vs sham in crossover	https://pubmed.ncbi.nlm.nih.gov/?term=Nauczyciel%202014%20TMS
☹	OCD	Pre-SMA negative		Pelissolo	France	2016	Br J Psychiatry	LF rTMS of the pre-SMA for treatment-resistant OCD: randomized controlled trial	RCT, n=40	Larger negative trial	Figure-8	Pre-SMA	rTMS	1	100% MT	1500	—	midline SMA	—	20	No significant benefit over sham (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Pelissolo%202016%20TMS
☺	OCD	Meta-analysis		Berlim	Canada	2013	J Psychiatr Res	rTMS for OCD: exploratory meta-analysis of randomized sham-controlled trials	Meta-analysis, 10 RCTs, n=282	Pooled effect	—	OFC / SMA / DLPFC	rTMS	various	—	—	—	—	—	—	Response 35% vs 13% sham; non-DLPFC (OFC/SMA) most promising	https://pubmed.ncbi.nlm.nih.gov/?term=Berlim%202013%20TMS
☺	Addiction – Smoking	HF L-DLPFC + cue		Amiaz	Israel	2009	Addiction	HF rTMS of left DLPFC reduces cigarette consumption and craving	RCT, n=48	10Hz + smoking-cue provocation	Figure-8	Left DLPFC	rTMS	10	100% RMT	1000	10,000 (10)	5 cm	—	10	Reduced consumption and craving vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Amiaz%202009%20TMS
☹	Addiction – Alcohol	Right DLPFC negative		Höppner	Germany	2011	World J Biol Psychiatry	HF rTMS of right DLPFC in alcohol dependence: sham-controlled trial	RCT	Craving not reduced	Figure-8	Right DLPFC	rTMS	20	90% MT	1000	—	5 cm	—	10	No significant effect on craving (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=H%C3%B6ppner%202011%20TMS
☺ (modest)	Addiction – Cocaine	dTMS pilot		Bolloni	Italy	2016	Front Psychiatry	Deep rTMS of medial PFC for cocaine use disorder: pilot randomized trial	RCT pilot	dmPFC dTMS	H-coil	Medial PFC	dTMS	10	100% RMT	—	—	standard	—	multiple	Reduced cocaine intake in pilot	https://pubmed.ncbi.nlm.nih.gov/?term=Bolloni%202016%20TMS
☺ (modest)	Addiction – Food craving	L-DLPFC (bulimia)		Van den Eynde	UK	2010	Biol Psychiatry	HF rTMS of left DLPFC reduces food craving in bulimic disorders	RCT	10Hz L-DLPFC	Figure-8	Left DLPFC	rTMS	10	110% RMT	1000	—	5 cm	—	1 (single session)	Reduced cue-induced food craving vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Van%20den%20Eynde%202010%20TMS
☺	PTSD	HF bilateral DLPFC		Boggio	Brazil	2010	J Clin Psychiatry	20Hz rTMS of right vs left DLPFC in PTSD: sham-controlled trial	RCT, n=30	Effect larger on right; sustained 3 mo	Figure-8	Right / Left DLPFC	rTMS	20	80% MT	1600	—	5 cm	—	10	Both active arms reduced PTSD symptoms vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202010%20TMS
☺	PTSD	LF right DLPFC		Watts	USA (VA)	2012	Depress Anxiety	1Hz rTMS of right DLPFC for PTSD: randomized sham-controlled trial	RCT, n=20	Sustained 2 mo	Figure-8	Right DLPFC	rTMS	1	90% MT	—	—	5 cm	—	10	Reduced PTSD and depression symptoms vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Watts%202012%20TMS
☺ (modest)	PTSD	Meta-analysis		Kan	Netherlands / intl	2020	Transl Psychiatry	rTMS for PTSD: systematic review and meta-analysis of RCTs	Meta-analysis	Pooled RCTs	Figure-8	DLPFC (mostly right)	rTMS	1 / 10-20	—	—	—	—	—	—	rTMS reduces PTSD symptoms vs sham (moderate effect)	https://pubmed.ncbi.nlm.nih.gov/?term=Kan%202020%20TMS
☺	Schizophrenia	AVH RCT (replication)		Hoffman	USA (Yale)	2005	Biol Psychiatry	Temporoparietal rTMS for auditory hallucinations: randomized controlled trial	RCT, n=50	Replication of 2003	Figure-8	Left temporoparietal	rTMS	1	90% MT	up to 1000	—	T3-P3	~16 min	9-12	Reduced AVH vs sham (moderate effect)	https://pubmed.ncbi.nlm.nih.gov/?term=Hoffman%202005%20TMS
☹	Schizophrenia	AVH negative RCT		Slotema	Netherlands	2011	J Clin Psychiatry	rTMS of the left temporoparietal cortex for AVH: randomized controlled trial	RCT	fMRI-guided vs standard vs sham	Figure-8	Left temporoparietal	rTMS	1	90% MT	1200	—	fMRI / 10-20	—	15	No superiority over sham in this trial (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Slotema%202011%20TMS
☺ (modest)	Schizophrenia	Negative symptoms HF		Prikryl	Czech Republic	2013	Schizophr Res	HF rTMS of left DLPFC for negative symptoms: randomized sham-controlled trial	RCT	10Hz L-DLPFC	Figure-8	Left DLPFC	rTMS	10	110% MT	2000	—	10-20	—	15-20	Reduced negative symptoms vs sham (contrasts RESIS)	https://pubmed.ncbi.nlm.nih.gov/?term=Prikryl%202013%20TMS
☺ (modest)	Migraine	HF DLPFC chronic		Brighina	Italy	2004	J Neurol Sci	HF rTMS of left DLPFC in chronic migraine: pilot sham-controlled study	RCT pilot	12 sessions HF L-DLPFC	Figure-8	Left DLPFC	rTMS	20	90% MT	400	—	5 cm	—	12	Reduced migraine frequency in pilot	https://pubmed.ncbi.nlm.nih.gov/?term=Brighina%202004%20TMS
☺	Migraine	HF M1 prophylaxis		Misra	India	2013	J Neurol	HF rTMS of M1 for migraine prophylaxis: randomized sham-controlled trial	RCT	10Hz M1	Figure-8	Motor cortex (M1)	rTMS	10	—	600	—	motor hotspot	—	3	Reduced headache frequency and severity vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Misra%202013%20TMS
☺	Neuropathic pain	M1 rTMS RCT		Khedr	Egypt	2005	J Neurol Neurosurg Psychiatry	rTMS of motor cortex in chronic neuropathic pain (trigeminal / post-stroke)	RCT	20Hz M1	Figure-8	Motor cortex (M1)	rTMS	20	80% RMT	2000	—	motor hotspot	—	5	Significant pain reduction vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Khedr%202005%20TMS
☺ (modest)	Neuropathic pain	M1 rTMS methodology		André-Obadia	France	2011	Neurophysiol Clin	Motor cortex rTMS for neuropathic pain: navigation and sham-coil methodology	RCT (methodology)	HF M1, sham-coil control	Figure-8	Motor cortex (M1)	rTMS	20	80-90% RMT	1600	—	neuronavigation	—	—	HF M1 analgesia; refined sham-coil design	https://pubmed.ncbi.nlm.nih.gov/?term=Andr%C3%A9-Obadia%202011%20TMS
☺	Chronic pain	Cochrane review		O'Connell	UK	2018	Cochrane Database Syst Rev	Non-invasive brain stimulation for chronic pain: Cochrane systematic review	Systematic review	Cochrane	—	Motor cortex (M1)	rTMS	HF	—	—	—	—	—	—	Short-term pain reduction with HF-M1 rTMS (low-moderate quality)	https://pubmed.ncbi.nlm.nih.gov/?term=O'Connell%202018%20TMS
☺ (modest)	CRPS	M1 rTMS		Picarelli	Brazil	2010	J Pain	HF rTMS of M1 for complex regional pain syndrome type I	RCT	10Hz M1	Figure-8	Motor cortex (M1)	rTMS	10	100% RMT	2000	—	motor hotspot	—	10	Reduced CRPS pain vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Picarelli%202010%20TMS
☺ (modest)	Phantom limb pain	M1 rTMS		Ahmed	Egypt	2011	J Neurol	HF rTMS of M1 for phantom limb pain: randomized sham-controlled trial	RCT	20Hz M1 contralateral	Figure-8	Motor cortex (M1)	rTMS	20	80% RMT	1500	—	motor hotspot	—	5	Reduced phantom limb pain vs sham (short-term)	https://pubmed.ncbi.nlm.nih.gov/?term=Ahmed%202011%20TMS
☺	Stroke – Aphasia	Right IFG RCT		Thiel	Canada / Germany	2013	Stroke	rTMS of right IFG improves language in subacute post-stroke aphasia	RCT, n=24	1Hz right pars triangularis vs vertex	Figure-8	Right IFG (pars triangularis)	rTMS	1	90% RMT	1200	—	neuronavigation	~20 min	10	Improved language recovery vs control	https://pubmed.ncbi.nlm.nih.gov/?term=Thiel%202013%20TMS
☺ (modest)	Stroke – Aphasia	NORTHSTAR RCT		NORTHSTAR (Georgiou)	Canada / US / Germany	2021	Brain Stimul	Non-invasive brain stimulation as add-on for subacute post-stroke aphasia (NORTHSTAR)	RCT, n=63	1Hz right IFG / ctDCS / sham	Figure-8	Right IFG	rTMS	1	90% RMT	1200	—	neuronavigation	—	10	Delayed positive effect on naming recovery	https://pubmed.ncbi.nlm.nih.gov/?term=NORTHSTAR%20Georgiou%202021%20TMS
☺	Stroke – Aphasia	Meta-analysis		Ren	China	2014	PLoS One	Effect of LF rTMS on aphasia in stroke patients: meta-analysis of RCTs	Meta-analysis	LF right IFG	Figure-8	Right IFG	rTMS	1	90% RMT	—	—	—	—	—	LF rTMS improves naming/language vs control	https://pubmed.ncbi.nlm.nih.gov/?term=Ren%202014%20TMS
☺	Stroke – Motor	Meta-analysis		Hsu	Taiwan	2012	Stroke	Effects of rTMS on motor recovery after stroke: a meta-analysis	Meta-analysis, 18 studies	LF contralesional / HF ipsilesional	Figure-8	M1 (contra / ipsi)	rTMS	1 / 10	—	—	—	—	—	—	Improves motor outcome; larger effect for LF contralesional and subcortical stroke	https://pubmed.ncbi.nlm.nih.gov/?term=Hsu%202012%20TMS
☺ (modest)	Stroke – Motor	LF vs HF RCT		Du	China	2016	Neurology	LF vs HF rTMS for motor recovery in acute stroke: randomized controlled trial	RCT	Both active arms	Figure-8	Contralesional / ipsilesional M1	rTMS	1 / 3	90-110% RMT	—	—	navigation	—	multiple	Both LF and HF rTMS improved motor outcome vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Du%202016%20TMS
☺ (modest)	Stroke – Dysphagia	Meta-analysis		Yang	China	2015	Clin Rehabil	rTMS for post-stroke dysphagia: systematic review and meta-analysis	Meta-analysis	Pooled RCTs	Figure-8	Pharyngeal M1	rTMS	1 / 3	—	—	—	—	—	—	rTMS improves swallowing function vs control	https://pubmed.ncbi.nlm.nih.gov/?term=Yang%202015%20TMS
☺ (modest)	Stroke – Neglect	cTBS RCT		Kim	South Korea	2013	Neurorehabil Neural Repair	cTBS of contralesional PPC for hemispatial neglect after stroke	RCT	Contralesional parietal cTBS	Figure-8	Contralesional PPC	cTBS	50	80-100% AMT	600	—	neuronavigation	—	multiple	Reduced neglect vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Kim%202013%20TMS
☺ (modest)	Parkinson's disease	M1 rTMS motor		Maruo	Japan	2013	Mov Disord	HF rTMS of bilateral M1 improves motor symptoms in Parkinson disease	RCT	10Hz M1 bilateral	Figure-8	Motor cortex (M1)	rTMS	10	90% RMT	1000	—	motor hotspot	—	multiple	Improved UPDRS-III vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Maruo%202013%20TMS
☹	Parkinson's disease	iTBS negative		Benninger	USA (NIH)	2011	Neurology	Intermittent theta-burst stimulation in Parkinson disease: randomized sham-controlled trial	RCT	M1/DLPFC iTBS	Figure-8	M1 / DLPFC	iTBS	50	80% AMT	600	—	navigation	—	8	No significant motor benefit over sham (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Benninger%202011%20TMS
☺ (modest)	Essential tremor	Cerebellar LF rTMS		Popa	France	2013	Cerebellum	1Hz rTMS of the cerebellum reduces essential tremor	RCT / series	Bilateral cerebellar 1Hz	Figure-8	Cerebellum	rTMS	1	90% RMT	900	—	cerebellar landmarks	—	5-10	Transient tremor reduction	https://pubmed.ncbi.nlm.nih.gov/?term=Popa%202013%20TMS
☺ (modest)	Parkinson's – Freezing of gait	SMA rTMS		Kim	South Korea	2018	Restor Neurol Neurosci	rTMS of the SMA for freezing of gait in Parkinson disease	RCT	HF SMA	Figure-8	SMA	rTMS	10	90% RMT	1000	—	10-20	—	multiple	Improved freezing-of-gait measures vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Kim%202018%20TMS
☺ (modest)	Tinnitus	LF temporal		Langguth	Germany	2012	Lancet Neurol (review)	LF rTMS of auditory cortex for chronic tinnitus	RCT / review	1Hz left temporal	Figure-8	Left auditory / temporal cortex	rTMS	1	110% RMT	2000	—	navigation / 10-20	—	10	Modest tinnitus reduction; heterogeneous results	https://pubmed.ncbi.nlm.nih.gov/?term=Langguth%202012%20TMS
☺ (modest)	Tinnitus	Cochrane review		Meng	China	2011	Cochrane Database Syst Rev	rTMS for tinnitus: Cochrane systematic review	Systematic review	Low-quality evidence	Figure-8	Auditory cortex	rTMS	1	—	—	—	—	—	—	Limited low-quality evidence of benefit	https://pubmed.ncbi.nlm.nih.gov/?term=Meng%202011%20TMS
☺ (modest)	Alzheimer's disease	DLPFC naming		Cotelli	Italy	2011	Neurodegener Dis	rTMS of DLPFC improves naming and cognition in Alzheimer disease	RCT / series	HF DLPFC	Figure-8	DLPFC (bilateral)	rTMS	20	100% RMT	—	—	10-20	—	multiple	Improved naming / auditory comprehension	https://pubmed.ncbi.nlm.nih.gov/?term=Cotelli%202011%20TMS
☺ (modest)	Alzheimer's disease	HF bilateral DLPFC		Ahmed	Egypt	2012	J Neurol	HF vs LF rTMS of bilateral DLPFC in Alzheimer and MCI	RCT	20Hz improved cognition	Figure-8	Bilateral DLPFC	rTMS	20	90% RMT	2000	—	10-20	—	5	HF bilateral DLPFC improved MMSE/cognition vs LF and sham	https://pubmed.ncbi.nlm.nih.gov/?term=Ahmed%202012%20TMS
☺ (modest)	Cognition – AD / MCI	rTMS meta-analysis		Lin	China	2019	Ageing Res Rev	rTMS for cognition in Alzheimer disease and MCI: meta-analysis	Meta-analysis	Pooled RCTs	Figure-8	DLPFC	rTMS	HF	—	—	—	—	—	—	HF-rTMS improves global cognition in AD/MCI (small-moderate)	https://pubmed.ncbi.nlm.nih.gov/?term=Lin%202019%20TMS
☺ (modest)	Multiple sclerosis	Spasticity iTBS		Centonze	Italy	2007	Mult Scler	iTBS of motor cortex reduces spasticity in multiple sclerosis	RCT / series	iTBS M1	Figure-8	Motor cortex (M1)	iTBS	50	80% AMT	600	—	motor hotspot	—	multiple	Reduced lower-limb spasticity vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Centonze%202007%20TMS
☺ (modest)	Fibromyalgia	rTMS meta-analysis		Knijnik	Brazil	2016	Pain Pract	rTMS for fibromyalgia: systematic review and meta-analysis	Meta-analysis	HF M1 / LF DLPFC	Figure-8	M1 / DLPFC	rTMS	10	—	—	—	—	—	—	Improves pain and quality of life (small-moderate)	https://pubmed.ncbi.nlm.nih.gov/?term=Knijnik%202016%20TMS
☺ (modest)	Panic disorder	LF right DLPFC		Mantovani	USA	2013	Depress Anxiety	1Hz rTMS of right DLPFC for panic disorder with comorbid depression	RCT	LF right DLPFC	Figure-8	Right DLPFC	rTMS	1	110% MT	—	—	5 cm	—	multiple	Reduced panic and anxiety symptoms vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Mantovani%202013%20TMS
☺ (modest)	Bipolar depression	Right DLPFC		Nahas	USA	2003	Bipolar Disord	Left prefrontal rTMS in bipolar depression: sham-controlled pilot	RCT pilot	Small sample	Figure-8	Left DLPFC	rTMS	5-20	110% MT	—	—	5 cm	—	10	Pilot signal; low manic-switch risk	https://pubmed.ncbi.nlm.nih.gov/?term=Nahas%202003%20TMS
⚔ ref	Methodology	First safety consensus		Wassermann	USA (NIH)	1998	Electroencephalogr Clin Neurophysiol	Risk and safety of rTMS: report and suggested guidelines from the 1996 NIH workshop	Consensus	First rTMS safety guidelines	—	—	—	—	—	—	—	—	—	—	Original seizure-risk safety limits (later updated by Rossi)	https://pubmed.ncbi.nlm.nih.gov/?term=Wassermann%201998%20TMS
⚔ ref	Methodology	rTMS depression consensus		McClintock	USA	2018	J Clin Psychiatry	Consensus recommendations for the clinical application of rTMS in the treatment of depression	Consensus	Clinical practice recommendations	—	Left DLPFC	rTMS / iTBS	10 / 50	120% RMT	—	—	5 cm / F3 / MRI	—	—	Standardizes dosing, targeting, course length for MDD	https://pubmed.ncbi.nlm.nih.gov/?term=McClintock%202018%20TMS
⚔ ref	Methodology	Clinical TMS Society		Perera	USA	2016	Brain Stimul	The Clinical TMS Society consensus review and treatment recommendations for TMS therapy in MDD	Consensus	Society guideline	—	Left DLPFC	rTMS	10	120% RMT	3000	—	5 cm / F3	~37 min	20-30 + taper	Endorses HF-L-DLPFC as standard; supports acute course + taper	https://pubmed.ncbi.nlm.nih.gov/?term=Perera%202016%20TMS
⚔ ref	Methodology	Original efficacy guideline		Lefaucheur	Europe (expert group)	2014	Clin Neurophysiol	Evidence-based guidelines on the therapeutic use of rTMS	Guideline	Superseded by 2020 update	—	—	rTMS	—	—	—	—	—	—	—	First systematic Level A/B/C grading across indications	https://pubmed.ncbi.nlm.nih.gov/?term=Lefaucheur%202014%20TMS
☺	Depression (MDD)	Frequency comparison		George	USA (MUSC)	2000	Biol Psychiatry	A controlled trial of daily left prefrontal rTMS (5Hz vs 20Hz) in depression	RCT	Frequency comparison	Figure-8	Left DLPFC	rTMS	5 / 20	80% MT	800-1600	—	5 cm	—	10	Both active frequencies improved mood vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=George%202000%20TMS
☺	Depression (MDD)	Bilateral rTMS RCT		Fitzgerald	Australia	2012	Neuropsychopharmacology	Bilateral sequential rTMS for treatment-resistant depression: randomized trial	RCT	LF-right + HF-left	Figure-8	Bilateral DLPFC	rTMS	1 (R) + 10 (L)	110% RMT	—	—	5 cm / navigation	—	up to 20	Bilateral rTMS effective; comparable to unilateral HF-left	https://pubmed.ncbi.nlm.nih.gov/?term=Fitzgerald%202012%20TMS
☺ (modest)	Depression (MDD)	LF vs HF crossover		Padberg	Germany	1999	Neuropsychopharmacology	LF vs HF rTMS of prefrontal cortex in major depression	RCT crossover	Early frequency study	Figure-8	Left DLPFC	rTMS	0.3 / 10	90% MT	—	—	5 cm	—	5	Modest effect; HF-left favored	https://pubmed.ncbi.nlm.nih.gov/?term=Padberg%201999%20TMS
☺ (modest)	Depression (MDD)	Left vs bilateral		Loo	Australia	2003	Psychol Med	A sham-controlled trial of left and bilateral rTMS in resistant depression	RCT	Left + bilateral	Figure-8	Left / bilateral DLPFC	rTMS	10	90-110% RMT	—	—	5 cm	—	10-15	Modest antidepressant effect; supports bilateral	https://pubmed.ncbi.nlm.nih.gov/?term=Loo%202003%20TMS
☺	Depression (MDD)	Add-on accelerated response		Rossini	Italy	2010	J Clin Psychiatry	HF rTMS as add-on to antidepressant accelerates response in depression	RCT	15Hz L-DLPFC accelerates onset	Figure-8	Left DLPFC	rTMS	15	80-100% MT	—	—	5 cm	—	10	Faster antidepressant response vs sham add-on	https://pubmed.ncbi.nlm.nih.gov/?term=Rossini%202010%20TMS
☺	Depression (MDD)	Durability (6-mo)		Janicak	USA (multisite)	2010	Brain Stimul	Durability of clinical benefit with TMS: 6-month multisite open-label study	Open-label follow-up, n=301	Relapse/rescue after acute course	Figure-8	Left DLPFC	rTMS	10	120% RMT	3000	—	5 cm	~37 min	acute + rescue	Benefit durable at 6 mo; ~10% relapse with maintenance meds/rescue	https://pubmed.ncbi.nlm.nih.gov/?term=Janicak%202010%20TMS
☺	Depression (MDD)	Durability (1-yr)		Dunner	USA (multisite)	2014	J Clin Psychiatry	Naturalistic TMS for pharmacoresistant depression: durability over 1-year follow-up	Observational, n=257	Long-term outcomes	Figure-8	Left DLPFC	rTMS	10	120% RMT	3000	—	5 cm / clinical	~37 min	acute + reintroduction	62.5% of responders maintained benefit at 1 yr	https://pubmed.ncbi.nlm.nih.gov/?term=Dunner%202014%20TMS
☺	Depression (MDD)	Deep TMS pilot		Levkovitz	Israel	2009	J ECT	Deep TMS with H-coil for depression: safety and feasibility pilot	Open-label pilot	Precursor to 2015 pivotal	H1 deep coil	Bilateral PFC	dTMS	20	120% RMT	—	—	standard	—	20	Feasible and safe; antidepressant signal	https://pubmed.ncbi.nlm.nih.gov/?term=Levkovitz%202009%20TMS
☺ (modest)	Depression (MDD)	Health technology assessment		Health Quality Ontario	Canada	2016	Ont Health Technol Assess Ser	rTMS for treatment-resistant depression: health technology assessment	HTA / systematic review	Government HTA	Figure-8	Left DLPFC	rTMS	10	—	—	—	—	—	—	rTMS effective and cost-effective for TRD; supports coverage	https://pubmed.ncbi.nlm.nih.gov/?term=Health%20Quality%20Ontario%202016%20TMS
☺ (modest)	Depression – Perinatal	L-DLPFC		Kim	USA	2019	Arch Womens Ment Health	rTMS for antenatal/postpartum depression: sham-controlled study	RCT	10Hz L-DLPFC in pregnancy/postpartum	Figure-8	Left DLPFC	rTMS	10	100-110% RMT	—	—	5 cm	—	up to 20	Reduced depression; no adverse pregnancy outcomes	https://pubmed.ncbi.nlm.nih.gov/?term=Kim%202019%20TMS
☺	Depression (MDD)	Bilateral TRD RCT		Blumberger	Canada	2012	Int J Neuropsychopharmacol	Bilateral rTMS for treatment-resistant depression: randomized sham-controlled trial	RCT	Sequential bilateral	Figure-8	Bilateral DLPFC	rTMS	1 (R) + 10 (L)	100-120% RMT	—	—	5 cm	—	up to 30	Bilateral rTMS improved outcomes vs unilateral/sham	https://pubmed.ncbi.nlm.nih.gov/?term=Blumberger%202012%20TMS
☺ (modest)	Depression – Late-life	DLPFC meta-analysis		Trevizol	Canada	2019	Am J Geriatr Psychiatry	rTMS / deep TMS for late-life depression: systematic review and meta-analysis	Meta-analysis	Older adults	Figure-8 / H1	DLPFC	rTMS / dTMS	10 / 18	—	—	—	—	—	—	rTMS efficacious in late-life depression (moderate effect)	https://pubmed.ncbi.nlm.nih.gov/?term=Trevizol%202019%20TMS
☹	OCD	Right DLPFC negative (first RCT)		Alonso	Spain	2001	Am J Psychiatry	Right prefrontal rTMS in obsessive-compulsive disorder: double-blind sham-controlled study	RCT	First OCD rTMS RCT	Figure-8 (non-focal)	Right DLPFC	rTMS	1	110% MT	—	—	5 cm	—	18	No significant benefit over sham (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Alonso%202001%20TMS
☹	OCD	DLPFC negative		Sachdev	Australia	2007	Psychol Med	Left DLPFC rTMS for treatment-resistant OCD: randomized sham-controlled trial	RCT	LF/HF left DLPFC	Figure-8	Left DLPFC	rTMS	10	110% MT	—	—	5 cm	—	10-20	No difference vs sham after controlling for depression	https://pubmed.ncbi.nlm.nih.gov/?term=Sachdev%202007%20TMS
☺ (modest)	OCD	LF right DLPFC		Elbeh	Egypt	2016	Psychiatry Res	LF vs HF rTMS of right DLPFC for OCD: randomized sham-controlled trial	RCT	1Hz > sham; not durable at 3 mo	Figure-8	Right DLPFC	rTMS	1	100% MT	1200	—	5 cm	—	10	LF right DLPFC reduced YBOCS vs sham (transient)	https://pubmed.ncbi.nlm.nih.gov/?term=Elbeh%202016%20TMS
☺ (modest)	Addiction – Smoking	LF right DLPFC + patch		Trojak	France	2015	Brain Stimul	LF rTMS of right DLPFC as adjunct to nicotine patch for smoking cessation	RCT	1Hz right DLPFC	Figure-8	Right DLPFC	rTMS	1	120% RMT	360	—	5 cm	—	10	Higher early abstinence vs sham+patch; not sustained	https://pubmed.ncbi.nlm.nih.gov/?term=Trojak%202015%20TMS
☺ (modest)	Addiction – Alcohol	dTMS		Ceccanti	Italy	2015	Drug Alcohol Depend	Deep rTMS of medial PFC in alcohol use disorder: randomized study	RCT	dmPFC dTMS	H-coil	Medial PFC	dTMS	20	120% RMT	—	—	standard	—	multiple	Reduced alcohol craving and intake vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Ceccanti%202015%20TMS
☺ (modest)	Addiction – Cocaine	dTMS observational		Rapinesi	Italy	2016	Neurosci Lett	Add-on deep rTMS for cocaine use disorder: observational study	Observational	dmPFC / DLPFC dTMS	H-coil	Left DLPFC	dTMS	15	100% RMT	—	—	standard	—	multiple	Reduced craving; supports Terraneo findings	https://pubmed.ncbi.nlm.nih.gov/?term=Rapinesi%202016%20TMS
☺ (modest)	PTSD	1Hz + imaginal exposure		Osuch	USA (NIH)	2009	J Anxiety Disord	1Hz rTMS of right DLPFC combined with imaginal exposure for PTSD	RCT crossover	LF + exposure	Figure-8	Right DLPFC	rTMS	1	100% MT	—	—	5 cm	—	—	Combined rTMS + exposure reduced hyperarousal	https://pubmed.ncbi.nlm.nih.gov/?term=Osuch%202009%20TMS
☺ (modest)	Schizophrenia	AVH meta-analysis		Aleman	Netherlands	2007	J Clin Psychiatry	LF rTMS of left temporoparietal cortex for auditory hallucinations: meta-analysis	Meta-analysis	Pooled effect	Figure-8	Left temporoparietal	rTMS	1	90% MT	—	—	—	—	—	Significant effect on hallucinations vs sham (mean d~0.76)	https://pubmed.ncbi.nlm.nih.gov/?term=Aleman%202007%20TMS
☺ (modest)	Schizophrenia	Cochrane review		Dougall	UK	2015	Cochrane Database Syst Rev	Transcranial magnetic stimulation for schizophrenia: Cochrane systematic review	Systematic review	Low-moderate quality evidence	Figure-8	TPC / DLPFC	rTMS	1 / 10	—	—	—	—	—	—	Possible benefit for hallucinations; evidence limited	https://pubmed.ncbi.nlm.nih.gov/?term=Dougall%202015%20TMS
☹	Schizophrenia	Cognition negative		Guse	Germany	2013	Eur Arch Psychiatry Clin Neurosci	HF rTMS of left DLPFC for cognition in schizophrenia: randomized sham-controlled trial	RCT	10Hz L-DLPFC cognition	Figure-8	Left DLPFC	rTMS	10	110% MT	1000	—	10-20	—	15	No significant cognitive benefit over sham (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Guse%202013%20TMS
☹	Migraine	1Hz vertex negative		Teepker	Germany	2010	Cephalalgia	LF rTMS of the vertex for migraine prophylaxis: randomized sham-controlled trial	RCT	1Hz vertex	Figure-8	Vertex	rTMS	1	—	500	—	vertex	—	5	No significant prophylactic benefit (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Teepker%202010%20TMS
☺	Neuropathic pain	Meta-analysis		Leung	USA	2009	J Pain	rTMS for suppressing neuropathic pain: meta-analysis	Meta-analysis	Pooled individual data	Figure-8	Motor cortex (M1)	rTMS	5-10	—	—	—	—	—	—	HF-M1 rTMS reduces neuropathic pain; central > peripheral origin	https://pubmed.ncbi.nlm.nih.gov/?term=Leung%202009%20TMS
